SampleID,score_XY,score_YX,labels
0,-1000000000000.0,-0.01631162129342556,1
1,-1000000000000.0,-0.02694399282336235,-1
2,-1000000000000.0,-0.04221080616116524,-1
3,-1000000000000.0,-0.017806410789489746,1
4,-1000000000000.0,-0.02121763490140438,-1
5,-1000000000000.0,-0.01879275031387806,1
6,-1000000000000.0,-0.008366219699382782,-1
7,-1000000000000.0,-0.03235688433051109,1
8,-1000000000000.0,-0.03780202195048332,-1
9,-1000000000000.0,-0.020602194592356682,1
10,-1000000000000.0,-0.02489146962761879,-1
11,-1000000000000.0,-0.02716783620417118,1
12,-1000000000000.0,-0.004777805879712105,1
13,-1000000000000.0,-0.004067715723067522,-1
14,-1000000000000.0,-0.0046479967422783375,-1
15,-1000000000000.0,-0.027377422899007797,-1
16,-1000000000000.0,-0.01772591471672058,-1
17,-1000000000000.0,-0.005754235666245222,-1
18,-1000000000000.0,-0.019467787817120552,1
19,-1000000000000.0,-0.021248430013656616,1
20,-1000000000000.0,-0.009256560355424881,-1
21,-1000000000000.0,-0.01674288511276245,1
22,-1000000000000.0,-0.027508309110999107,1
23,-1000000000000.0,-0.03108273819088936,1
24,-1000000000000.0,-0.006158411968499422,-1
25,-1000000000000.0,-0.017902208492159843,-1
26,-1000000000000.0,-0.031099023297429085,1
27,-1000000000000.0,-0.008577626198530197,-1
28,-1000000000000.0,-0.012644515372812748,-1
29,-1000000000000.0,-0.02912788651883602,1
30,-1000000000000.0,-0.04468381404876709,1
31,-1000000000000.0,-0.014032782055437565,1
32,-1000000000000.0,-0.0038975360803306103,-1
33,-1000000000000.0,-0.02149302139878273,1
34,-1000000000000.0,-0.01201388705521822,-1
35,-1000000000000.0,-0.004226353485137224,-1
36,-1000000000000.0,-0.013126409612596035,-1
37,-1000000000000.0,-0.016300052404403687,1
38,-1000000000000.0,-0.033205486834049225,1
39,-1000000000000.0,-0.0063433838076889515,-1
40,-1000000000000.0,-0.012104645371437073,-1
41,-1000000000000.0,-0.017559358850121498,-1
42,-1000000000000.0,-0.008342832326889038,-1
43,-1000000000000.0,-0.007439632434397936,-1
44,-1000000000000.0,-0.022641684859991074,1
45,-1000000000000.0,-0.016763092949986458,1
46,-1000000000000.0,-0.005803258623927832,-1
47,-1000000000000.0,-0.030579091981053352,1
48,-1000000000000.0,-0.035731345415115356,1
49,-1000000000000.0,-0.014917419292032719,-1
50,-1000000000000.0,-0.0078711723908782,-1
51,-1000000000000.0,-0.025740837678313255,1
52,-1000000000000.0,-0.013977132737636566,-1
53,-1000000000000.0,-0.014888503588736057,1
54,-1000000000000.0,-0.004734680987894535,1
55,-1000000000000.0,-0.003717729588970542,-1
56,-1000000000000.0,-0.01998395100235939,1
57,-1000000000000.0,-0.017010169103741646,1
58,-1000000000000.0,-0.01953449472784996,-1
59,-1000000000000.0,-0.005499498452991247,1
60,-1000000000000.0,-0.0035815234296023846,-1
61,-1000000000000.0,-0.004512418061494827,-1
62,-1000000000000.0,-0.0050058262422680855,-1
63,-1000000000000.0,-0.02956421487033367,-1
64,-1000000000000.0,-0.03545384854078293,-1
65,-1000000000000.0,-0.009431559592485428,-1
66,-1000000000000.0,-0.04221046343445778,1
67,-1000000000000.0,-0.03516456484794617,1
68,-1000000000000.0,-0.014104409143328667,-1
69,-1000000000000.0,-0.02337482012808323,1
70,-1000000000000.0,-0.01475586649030447,1
71,-1000000000000.0,-0.026007506996393204,1
72,-1000000000000.0,-0.015505468472838402,1
73,-1000000000000.0,-0.007847613655030727,-1
74,-1000000000000.0,-0.04007077217102051,-1
75,-1000000000000.0,-0.003996080253273249,-1
76,-1000000000000.0,-0.036589365452528,-1
77,-1000000000000.0,-0.008067350834608078,-1
78,-1000000000000.0,-0.028555409982800484,1
79,-1000000000000.0,-0.03931932896375656,1
80,-1000000000000.0,-0.005190096329897642,-1
81,-1000000000000.0,-0.02511763386428356,-1
82,-1000000000000.0,-0.016280869022011757,-1
83,-1000000000000.0,-0.024964602664113045,1
84,-1000000000000.0,-0.01005514059215784,-1
85,-1000000000000.0,-0.02604903280735016,1
86,-1000000000000.0,-0.016538644209504128,1
87,-1000000000000.0,-0.02388915792107582,1
88,-1000000000000.0,-0.020818594843149185,1
89,-1000000000000.0,-0.007091047707945108,-1
90,-1000000000000.0,-0.03612614795565605,1
91,-1000000000000.0,-0.028775425627827644,1
92,-1000000000000.0,-0.005340606439858675,-1
93,-1000000000000.0,-0.0184585303068161,1
94,-1000000000000.0,-0.015304207801818848,1
95,-1000000000000.0,-0.04474993050098419,1
96,-1000000000000.0,-0.010016324929893017,-1
97,-1000000000000.0,-0.003525417298078537,1
98,-1000000000000.0,-0.0037678878288716078,-1
99,-1000000000000.0,-0.00912067387253046,1
