SampleID,score_XY,score_YX,labels
0,-1000000000000.0,-0.012323461472988129,1
1,-1000000000000.0,-0.018344257026910782,1
2,-1000000000000.0,-0.030523357912898064,1
3,-1000000000000.0,-0.006345631089061499,-1
4,-1000000000000.0,-0.007073278538882732,-1
5,-1000000000000.0,-0.012265844270586967,-1
6,-1000000000000.0,-0.006067200098186731,-1
7,-1000000000000.0,-0.006536611821502447,-1
8,-1000000000000.0,-0.020874032750725746,1
9,-1000000000000.0,-0.008746743202209473,-1
10,-1000000000000.0,-0.007195310667157173,-1
11,-1000000000000.0,-0.012962618842720985,1
12,-1000000000000.0,-0.013656267896294594,-1
13,-1000000000000.0,-0.014252825640141964,1
14,-1000000000000.0,-0.01472356729209423,1
15,-1000000000000.0,-0.01923317462205887,1
16,-1000000000000.0,-0.0234990194439888,1
17,-1000000000000.0,-0.011170050129294395,-1
18,-1000000000000.0,-0.03569281846284866,1
19,-1000000000000.0,-0.004502893425524235,-1
20,-1000000000000.0,-0.007938474416732788,-1
21,-1000000000000.0,-0.006382364314049482,-1
22,-1000000000000.0,-0.013292239047586918,1
23,-1000000000000.0,-0.007042638957500458,-1
24,-1000000000000.0,-0.018213648349046707,1
25,-1000000000000.0,-0.006891766097396612,-1
26,-1000000000000.0,-0.006340712774544954,-1
27,-1000000000000.0,-0.01507673878222704,1
28,-1000000000000.0,-0.006523953750729561,-1
29,-1000000000000.0,-0.007424377836287022,-1
30,-1000000000000.0,-0.02150367945432663,1
31,-1000000000000.0,-0.030930232256650925,1
32,-1000000000000.0,-0.01760009117424488,1
33,-1000000000000.0,-0.012021660804748535,1
34,-1000000000000.0,-0.020541097968816757,1
35,-1000000000000.0,-0.014764657244086266,-1
36,-1000000000000.0,-0.02353815734386444,1
37,-1000000000000.0,-0.010046616196632385,1
38,-1000000000000.0,-0.009092040359973907,-1
39,-1000000000000.0,-0.025329353287816048,1
40,-1000000000000.0,-0.010034792125225067,-1
41,-1000000000000.0,-0.041100677102804184,1
42,-1000000000000.0,-0.0048741833306849,-1
43,-1000000000000.0,-0.017198903486132622,1
44,-1000000000000.0,-0.017163585871458054,1
45,-1000000000000.0,-0.007934926077723503,-1
46,-1000000000000.0,-0.011860487051308155,-1
47,-1000000000000.0,-0.00973342452198267,-1
48,-1000000000000.0,-0.00488282972946763,-1
49,-1000000000000.0,-0.009263509884476662,-1
50,-1000000000000.0,-0.018203388899564743,1
51,-1000000000000.0,-0.008132947608828545,-1
52,-1000000000000.0,-0.013074194081127644,1
53,-1000000000000.0,-0.006771861109882593,-1
54,-1000000000000.0,-0.022002696990966797,1
55,-1000000000000.0,-0.018292943015694618,-1
56,-1000000000000.0,-0.020981598645448685,1
57,-1000000000000.0,-0.01167936809360981,-1
58,-1000000000000.0,-0.00457300990819931,1
59,-1000000000000.0,-0.005536502692848444,-1
60,-1000000000000.0,-0.007862213999032974,-1
61,-1000000000000.0,-0.014645524322986603,1
62,-1000000000000.0,-0.01904839091002941,-1
63,-1000000000000.0,-0.004836412146687508,-1
64,-1000000000000.0,-0.025737855583429337,1
65,-1000000000000.0,-0.011036268435418606,1
66,-1000000000000.0,-0.01239259634166956,1
67,-1000000000000.0,-0.007223167456686497,-1
68,-1000000000000.0,-0.01554775983095169,-1
69,-1000000000000.0,-0.01604412868618965,1
70,-1000000000000.0,-0.008502906188368797,-1
71,-1000000000000.0,-0.01169783715158701,1
72,-1000000000000.0,-0.0034592279698699713,-1
73,-1000000000000.0,-0.01191582903265953,-1
74,-1000000000000.0,-0.01212869118899107,1
75,-1000000000000.0,-0.015336085110902786,1
76,-1000000000000.0,-0.032952990382909775,1
77,-1000000000000.0,-0.004893440753221512,-1
78,-1000000000000.0,-0.005939476657658815,-1
79,-1000000000000.0,-0.0170600488781929,1
80,-1000000000000.0,-0.017319247126579285,1
81,-1000000000000.0,-0.007621478755027056,-1
82,-1000000000000.0,-0.012315520085394382,-1
83,-1000000000000.0,-0.04374036192893982,1
84,-1000000000000.0,-0.026669902727007866,1
85,-1000000000000.0,-0.011583669111132622,-1
86,-1000000000000.0,-0.008867091499269009,-1
87,-1000000000000.0,-0.007344820071011782,1
88,-1000000000000.0,-0.008323749527335167,-1
89,-1000000000000.0,-0.011611941270530224,-1
90,-1000000000000.0,-0.018725207075476646,-1
91,-1000000000000.0,-0.017529183998703957,1
92,-1000000000000.0,-0.03076305240392685,1
93,-1000000000000.0,-0.014311152510344982,1
94,-1000000000000.0,-0.007499022409319878,-1
95,-1000000000000.0,-0.02792954072356224,1
96,-1000000000000.0,-0.009120645932853222,1
97,-1000000000000.0,-0.010844029486179352,-1
98,-1000000000000.0,-0.010918268002569675,-1
99,-1000000000000.0,-0.01605549082159996,1
