SampleID,score_XY,score_YX,labels
0,-1000000000000.0,-0.002155092777684331,-1
1,-1000000000000.0,-0.03840319439768791,1
2,-1000000000000.0,-0.02601729892194271,-1
3,-1000000000000.0,-0.028328215703368187,-1
4,-1000000000000.0,-0.027542216703295708,-1
5,-1000000000000.0,-0.03768603131175041,-1
6,-1000000000000.0,-0.02827605791389942,1
7,-1000000000000.0,-0.01711864583194256,-1
8,-1000000000000.0,-0.02292613685131073,-1
9,-1000000000000.0,-0.026070287451148033,-1
10,-1000000000000.0,-0.03209006413817406,1
11,-1000000000000.0,-0.02501942403614521,-1
12,-1000000000000.0,-0.03195103630423546,-1
13,-1000000000000.0,-0.045985233038663864,1
14,-1000000000000.0,-0.013337886892259121,1
15,-1000000000000.0,-0.02266405150294304,-1
16,-1000000000000.0,-0.047900985926389694,1
17,-1000000000000.0,-0.02298077754676342,-1
18,-1000000000000.0,-0.041292525827884674,1
19,-1000000000000.0,-0.05009474232792854,1
20,-1000000000000.0,-0.049546852707862854,1
21,-1000000000000.0,-0.031449902802705765,-1
22,-1000000000000.0,-0.0454135499894619,1
23,-1000000000000.0,-0.03209508955478668,-1
24,-1000000000000.0,-0.05449443310499191,1
25,-1000000000000.0,-0.05040854960680008,1
26,-1000000000000.0,-0.022242246195673943,1
27,-1000000000000.0,-0.02903389185667038,-1
28,-1000000000000.0,-0.026331480592489243,-1
29,-1000000000000.0,-0.01925608515739441,-1
30,-1000000000000.0,-0.03456525877118111,-1
31,-1000000000000.0,-0.040729593485593796,1
32,-1000000000000.0,-0.02783111110329628,-1
33,-1000000000000.0,-0.024851977825164795,-1
34,-1000000000000.0,-0.034849438816308975,1
35,-1000000000000.0,-0.05687671899795532,1
36,-1000000000000.0,-0.03665357083082199,1
37,-1000000000000.0,-0.03852181136608124,1
38,-1000000000000.0,-0.010012303479015827,-1
39,-1000000000000.0,-0.027134831994771957,-1
40,-1000000000000.0,-0.001771284849382937,-1
41,-1000000000000.0,-0.03070518746972084,-1
42,-1000000000000.0,-0.029795832931995392,-1
43,-1000000000000.0,-0.03267258033156395,-1
44,-1000000000000.0,-0.023264778777956963,-1
