SampleID,score_XY,score_YX,labels
0,-1000000000000.0,-0.0347314216196537,-1
1,-1000000000000.0,-0.05583535134792328,1
2,-1000000000000.0,-0.03262308984994888,-1
3,-1000000000000.0,-0.020778939127922058,-1
4,-1000000000000.0,-0.05987934395670891,1
5,-1000000000000.0,-0.05153700336813927,1
6,-1000000000000.0,-0.049443475902080536,1
7,-1000000000000.0,-0.047314126044511795,-1
8,-1000000000000.0,-0.01946101151406765,-1
9,-1000000000000.0,-0.05949948728084564,1
10,-1000000000000.0,-0.050886865705251694,1
11,-1000000000000.0,-0.03341493010520935,-1
12,-1000000000000.0,-0.021093042567372322,-1
13,-1000000000000.0,-0.057970523834228516,1
14,-1000000000000.0,-0.04073379561305046,-1
15,-1000000000000.0,-0.034416571259498596,-1
16,-1000000000000.0,-0.0385902039706707,-1
17,-1000000000000.0,-0.06629060208797455,1
18,-1000000000000.0,-0.025939004495739937,-1
19,-1000000000000.0,-0.11009086668491364,-1
20,-1000000000000.0,-0.024920959025621414,1
21,-1000000000000.0,-0.027905767783522606,-1
22,-1000000000000.0,-0.03904439136385918,-1
23,-1000000000000.0,-0.03405233845114708,-1
24,-1000000000000.0,-0.04859348013997078,1
25,-1000000000000.0,-0.06137813627719879,1
26,-1000000000000.0,-0.029394933953881264,-1
27,-1000000000000.0,-0.05738837271928787,1
28,-1000000000000.0,-0.02176487073302269,1
29,-1000000000000.0,-0.04560977965593338,-1
30,-1000000000000.0,-0.05204043537378311,1
31,-1000000000000.0,-0.025088632479310036,-1
32,-1000000000000.0,-0.03621812164783478,-1
33,-1000000000000.0,-0.026780566200613976,-1
34,-1000000000000.0,-0.028884965926408768,-1
35,-1000000000000.0,-0.026044441387057304,-1
36,-1000000000000.0,-0.029991360381245613,-1
37,-1000000000000.0,-0.015651609748601913,-1
38,-1000000000000.0,-0.0439932681620121,1
39,-1000000000000.0,-0.032606687396764755,-1
40,-1000000000000.0,-0.021401846781373024,-1
41,-1000000000000.0,-0.029383882880210876,-1
42,-1000000000000.0,-0.016257677227258682,-1
43,-1000000000000.0,-0.029918627813458443,-1
44,-1000000000000.0,-0.05409931391477585,1
45,-1000000000000.0,-0.031590793281793594,-1
46,-1000000000000.0,-0.06105803698301315,1
47,-1000000000000.0,-0.025879992172122,-1
48,-1000000000000.0,-0.02968178689479828,1
49,-1000000000000.0,-0.04479921609163284,-1
50,-1000000000000.0,-0.06275492906570435,1
51,-1000000000000.0,-0.05550296604633331,1
52,-1000000000000.0,-0.05821250379085541,1
53,-1000000000000.0,-0.020743712782859802,1
54,-1000000000000.0,-0.03571769967675209,-1
55,-1000000000000.0,-0.05422001704573631,1
56,-1000000000000.0,-0.04841550067067146,1
57,-1000000000000.0,-0.05077841132879257,1
58,-1000000000000.0,-0.04183406010270119,-1
59,-1000000000000.0,-0.03238081932067871,-1
60,-1000000000000.0,-0.0505148284137249,1
61,-1000000000000.0,-0.026803459972143173,-1
62,-1000000000000.0,-0.05692286789417267,1
63,-1000000000000.0,-0.027622975409030914,-1
64,-1000000000000.0,-0.044964682310819626,-1
65,-1000000000000.0,-0.043442655354738235,-1
66,-1000000000000.0,-0.055404528975486755,1
67,-1000000000000.0,-0.04199158400297165,-1
68,-1000000000000.0,-0.031005730852484703,-1
69,-1000000000000.0,-0.0243824515491724,-1
70,-1000000000000.0,-0.0433371476829052,-1
71,-1000000000000.0,-0.05505969002842903,1
72,-1000000000000.0,-0.05097854137420654,1
73,-1000000000000.0,-0.048659782856702805,-1
74,-1000000000000.0,-0.05270670726895332,1
75,-1000000000000.0,-0.04914394021034241,1
76,-1000000000000.0,-0.029550673440098763,-1
77,-1000000000000.0,-0.028308242559432983,1
78,-1000000000000.0,-0.035473935306072235,-1
79,-1000000000000.0,-0.0608183927834034,1
80,-1000000000000.0,-0.030268652364611626,-1
81,-1000000000000.0,-0.05435637757182121,1
82,-1000000000000.0,-0.052611108869314194,1
83,-1000000000000.0,-0.06306879967451096,1
84,-1000000000000.0,-0.0237115491181612,-1
85,-1000000000000.0,-0.05780244618654251,1
86,-1000000000000.0,-0.03964367136359215,-1
87,-1000000000000.0,-0.039537351578474045,-1
88,-1000000000000.0,-0.030792012810707092,-1
89,-1000000000000.0,-0.05466992035508156,1
90,-1000000000000.0,-0.029505856335163116,1
91,-1000000000000.0,-0.025859160348773003,-1
92,-1000000000000.0,-0.04692480340600014,1
93,-1000000000000.0,-0.04575396329164505,-1
94,-1000000000000.0,-0.05903561785817146,1
95,-1000000000000.0,-0.053572166711091995,1
96,-1000000000000.0,-0.0395200289785862,-1
97,-1000000000000.0,-0.06237775832414627,1
98,-1000000000000.0,-0.05438102409243584,1
99,-1000000000000.0,-0.046390511095523834,1
100,-1000000000000.0,-0.054301321506500244,-1
101,-1000000000000.0,-0.05680369585752487,1
102,-1000000000000.0,-0.040663547813892365,1
103,-1000000000000.0,-0.03582468256354332,-1
104,-1000000000000.0,-0.015840372070670128,-1
105,-1000000000000.0,-0.04055294021964073,-1
106,-1000000000000.0,-0.052962590008974075,1
107,-1000000000000.0,-0.025417428463697433,-1
108,-1000000000000.0,-0.05095171928405762,1
109,-1000000000000.0,-0.05925295874476433,1
110,-1000000000000.0,-0.03264628350734711,-1
111,-1000000000000.0,-0.052898507565259933,1
112,-1000000000000.0,-0.028119930997490883,-1
113,-1000000000000.0,-0.03021734207868576,-1
114,-1000000000000.0,-0.031657494604587555,-1
115,-1000000000000.0,-0.02816726081073284,-1
116,-1000000000000.0,-0.04368414357304573,1
117,-1000000000000.0,-0.05231628939509392,1
118,-1000000000000.0,-0.022528277710080147,-1
119,-1000000000000.0,-0.025774754583835602,-1
120,-1000000000000.0,-0.038128577172756195,-1
121,-1000000000000.0,-0.02891845628619194,-1
122,-1000000000000.0,-0.03718087077140808,-1
123,-1000000000000.0,-0.05523468926548958,1
124,-1000000000000.0,-0.03780249506235123,-1
125,-1000000000000.0,-0.06114213541150093,1
126,-1000000000000.0,-0.05519283190369606,1
127,-1000000000000.0,-0.019242051988840103,-1
128,-1000000000000.0,-0.058069005608558655,1
129,-1000000000000.0,-0.061098430305719376,1
130,-1000000000000.0,-0.05296055227518082,1
131,-1000000000000.0,-0.02610017918050289,-1
132,-1000000000000.0,-0.02975020371377468,-1
133,-1000000000000.0,-0.0212622731924057,-1
134,-1000000000000.0,-0.02995600737631321,-1
135,-1000000000000.0,-0.022689558565616608,1
136,-1000000000000.0,-0.05654110014438629,1
137,-1000000000000.0,-0.017055368050932884,-1
138,-1000000000000.0,-0.028071245178580284,-1
139,-1000000000000.0,-0.025661755353212357,-1
140,-1000000000000.0,-0.0296169426292181,-1
141,-1000000000000.0,-0.05133714899420738,1
142,-1000000000000.0,-0.046013642102479935,-1
143,-1000000000000.0,-0.03442583605647087,-1
144,-1000000000000.0,-0.04644567519426346,-1
145,-1000000000000.0,-0.04105282947421074,1
146,-1000000000000.0,-0.054681748151779175,1
147,-1000000000000.0,-0.03377890586853027,-1
148,-1000000000000.0,-0.06391282379627228,1
149,-1000000000000.0,-0.049707669764757156,1
150,-1000000000000.0,-0.05227205529808998,1
151,-1000000000000.0,-0.05918186530470848,1
152,-1000000000000.0,-0.06197922304272652,1
153,-1000000000000.0,-0.05712529271841049,1
154,-1000000000000.0,-0.017516974359750748,-1
155,-1000000000000.0,-0.03981587290763855,-1
156,-1000000000000.0,-0.06009206548333168,1
157,-1000000000000.0,-0.06369125097990036,1
158,-1000000000000.0,-0.03238087520003319,-1
159,-1000000000000.0,-0.05368481203913689,1
160,-1000000000000.0,-0.053880076855421066,1
161,-1000000000000.0,-0.02409425377845764,-1
162,-1000000000000.0,-0.06163721904158592,1
163,-1000000000000.0,-0.03863440454006195,-1
164,-1000000000000.0,-0.05302903428673744,1
165,-1000000000000.0,-0.04114971682429314,-1
166,-1000000000000.0,-0.02825932577252388,-1
167,-1000000000000.0,-0.030493438243865967,-1
168,-1000000000000.0,-0.03163135051727295,-1
169,-1000000000000.0,-0.0267252828925848,-1
170,-1000000000000.0,-0.0540541373193264,1
171,-1000000000000.0,-0.057403869926929474,1
172,-1000000000000.0,-0.0271346066147089,-1
173,-1000000000000.0,-0.028631530702114105,-1
174,-1000000000000.0,-0.031376831233501434,-1
175,-1000000000000.0,-0.04317314177751541,-1
176,-1000000000000.0,-0.045137204229831696,-1
177,-1000000000000.0,-0.06472323089838028,1
178,-1000000000000.0,-0.0568317174911499,1
179,-1000000000000.0,-0.02414734475314617,1
180,-1000000000000.0,-0.05716253072023392,1
181,-1000000000000.0,-0.054295141249895096,1
182,-1000000000000.0,-0.04592348635196686,1
183,-1000000000000.0,-0.029196832329034805,-1
184,-1000000000000.0,-0.053868088871240616,1
185,-1000000000000.0,-0.06372668594121933,1
186,-1000000000000.0,-0.03074985183775425,-1
187,-1000000000000.0,-0.023123949766159058,-1
188,-1000000000000.0,-0.046669431030750275,-1
189,-1000000000000.0,-0.053042564541101456,1
190,-1000000000000.0,-0.029145579785108566,-1
191,-1000000000000.0,-0.024510597810149193,-1
192,-1000000000000.0,-0.05111939460039139,1
193,-1000000000000.0,-0.03026837669312954,-1
194,-1000000000000.0,-0.03928251191973686,-1
195,-1000000000000.0,-0.029795994982123375,-1
196,-1000000000000.0,-0.03727727383375168,-1
197,-1000000000000.0,-0.05396462231874466,1
198,-1000000000000.0,-0.026377547532320023,1
199,-1000000000000.0,-0.03054274246096611,-1
