SampleID,score_XY,score_YX,labels
pair1,-0.04962521232664585,-0.03100450150668621,-1.0
pair2,-0.010350661352276802,-1000000000000.0,-1.0
pair3,-0.024920890107750893,-0.011762109585106373,-1.0
pair4,-0.0074303606525063515,-1000000000000.0,-1.0
pair5,-0.01623203046619892,-0.0004506503028096631,-1.0
pair6,-0.013488666154444218,-0.002323302091099322,-1.0
pair7,-0.015808568336069584,-0.0004882840730715543,-1.0
pair8,-0.01227712631225586,-0.00118166022002697,-1.0
pair9,-0.014491720125079155,-0.0023728966480121017,-1.0
pair10,-0.015077984426170588,-0.002649883390404284,-1.0
pair11,-0.013516659382730722,-0.0032523192930966616,-1.0
pair12,-0.006098183104768395,-0.0019960213685408235,-1.0
pair13,-0.05394809693098068,-1000000000000.0,-1.0
pair14,-0.05142338201403618,-1000000000000.0,-1.0
pair15,-0.06474689394235611,-1000000000000.0,-1.0
pair16,-0.014431765303015709,-1000000000000.0,-1.0
pair17,-0.0010452090064063668,-0.00047499401262030005,-1.0
pair18,-0.08837027847766876,-1000000000000.0,-1.0
pair19,-0.014942522859200835,-1000000000000.0,-1.0
pair20,-0.013727123849093914,-1000000000000.0,-1.0
pair21,-0.020337771624326706,-0.006585225462913513,-1.0
pair22,-0.009875247720628977,-0.008999847108498216,-1.0
pair23,-0.012178458273410797,-0.012667821254581213,-1.0
pair24,-0.007917696610093117,-0.0025744414888322353,-1.0
pair25,-0.0026133288629353046,-0.007474843878298998,-1.0
pair26,-0.005949240177869797,-0.003377820597961545,-1.0
pair27,-0.004293435253202915,-0.004178524017333984,-1.0
pair28,-0.001312348642386496,-0.0071310740895569324,-1.0
pair29,-0.004716910421848297,-0.007078458089381456,-1.0
pair30,-0.002330042188987136,-0.0021506580524146557,-1.0
pair31,-0.003302921075373888,-0.003071404527872801,-1.0
pair32,-0.004271819721907377,-0.004798743408173323,-1.0
pair33,-0.0032529227901250124,-1000000000000.0,-1.0
pair34,-0.012015056796371937,-1000000000000.0,-1.0
pair35,-0.008861941285431385,-1000000000000.0,-1.0
pair36,-0.0074759479612112045,-1000000000000.0,-1.0
pair37,-0.008646038360893726,-1000000000000.0,-1.0
pair38,-0.002942465478554368,-0.002319362247362733,-1.0
pair39,-0.00843717623502016,-1000000000000.0,-1.0
pair40,-0.001952062244527042,-0.007484850473701954,-1.0
pair41,-0.0025516983587294817,-0.004248619545251131,-1.0
pair42,-0.03202163800597191,-0.023725146893411875,-1.0
pair43,-0.012559488415718079,-0.01283374335616827,-1.0
pair44,-0.006177835166454315,-0.00588454189710319,-1.0
pair45,-0.003884965553879738,-0.004826545715332031,-1.0
pair46,-0.00502633024007082,-0.008336784783750772,-1.0
pair47,-0.012731694616377354,-0.006214247550815344,-1.0
pair48,-0.020357755944132805,-1000000000000.0,-1.0
pair49,-0.007878401316702366,-1000000000000.0,-1.0
pair50,-0.0068578156642615795,-1000000000000.0,1.0
pair51,-0.005029802210628986,-1000000000000.0,1.0
pair52,-0.005019774776883423,-1000000000000.0,1.0
pair53,-0.005734671838581562,-1000000000000.0,1.0
