SampleID,score_XY,score_YX,labels
0,-0.002173534594476223,-0.018773920834064484,1
1,-0.004870425444096327,-0.0005937149981036782,-1
2,-0.0018627028912305832,-0.00717128673568368,1
3,-0.004329454619437456,-0.027370134368538857,1
4,-0.002949789632111788,-0.004404227714985609,1
5,-0.019752761349081993,-0.004730645101517439,-1
6,-0.03401235118508339,-0.006541454698890448,-1
7,-0.0015815338119864464,-0.011590751819312572,1
8,-0.0013052623253315687,-0.005047243554145098,-1
9,-0.00425554346293211,-0.010305847972631454,1
10,-0.004279244225472212,-0.004067414905875921,1
11,-0.005011139437556267,-0.002523094415664673,-1
12,-0.004692516755312681,-0.0017624128377065063,-1
13,-0.006211410742253065,-0.009172116406261921,1
14,-0.006361589767038822,-0.010477757081389427,-1
15,-0.0133396927267313,-0.010082833468914032,-1
16,-0.03972923383116722,-0.0031264435965567827,-1
17,-0.0017317411256954074,-0.0025745537132024765,1
18,-0.0019123309757560492,-0.00881495513021946,1
19,-0.0012178024044260383,-0.02330591343343258,1
20,-0.004060347564518452,-0.005621541291475296,1
21,-0.00349549506790936,-0.003707215888425708,1
22,-0.0029961527325212955,-0.004137738142162561,1
23,-0.005609581246972084,-0.0033025736920535564,-1
24,-0.0155877023935318,-0.0048712254501879215,-1
25,-0.004384399391710758,-0.013396600261330605,1
26,-0.004381822422146797,-0.014654415659606457,1
27,-0.009910816326737404,-0.005577618721872568,-1
28,-0.00381855689920485,-0.0035200973507016897,1
29,-0.009410989470779896,-0.0012948005460202694,-1
30,-0.011020026169717312,-0.0053233313374221325,-1
31,-0.0016480963677167892,-0.017949283123016357,1
32,-0.0030743286479264498,-0.01119898073375225,1
33,-0.004007068928331137,-0.009645779617130756,1
34,-0.0042806146666407585,-0.04728955402970314,1
35,-0.00967552699148655,-0.007994826883077621,-1
36,-0.0014511359622702003,-0.004251081962138414,1
37,-0.0020230829250067472,-0.002827663440257311,1
38,-0.014678455889225006,-0.002767300233244896,-1
39,-0.005112803541123867,-0.0023968596942722797,1
40,-0.004093816038221121,-0.004180648364126682,1
41,-0.003055241657420993,-0.010009226389229298,1
42,-0.003023665165528655,-0.007908026687800884,1
43,-0.018888697028160095,-0.004404599312692881,-1
44,-0.0036873705685138702,-0.007915373891592026,1
45,-0.027727758511900902,-0.001834261231124401,-1
46,-0.007427002303302288,-0.01010648999363184,1
47,-0.005769982933998108,-0.0049401880241930485,1
48,-0.0030216271989047527,-0.003082041861489415,-1
49,-0.004778250586241484,-0.0043987552635371685,-1
50,-0.03903881832957268,-0.0009647011756896973,-1
51,-0.017112907022237778,-0.0010517056798562407,-1
52,-0.005329543258994818,-0.04890669509768486,1
53,-0.004918401129543781,-0.022224972024559975,1
54,-0.04598386958241463,-0.0075308894738554955,-1
55,-0.019036341458559036,-0.0017998903058469296,-1
56,-0.0019498256733641028,-0.007836835458874702,1
57,-0.010886992327868938,-0.0016435367288067937,-1
58,-0.0054496522061526775,-0.006774178706109524,-1
59,-0.025523938238620758,-0.0011823468375951052,-1
60,-0.01040977705270052,-0.006041550077497959,-1
61,-0.017012953758239746,-0.00200778734870255,-1
62,-0.0071172253228724,-0.003211191389709711,-1
63,-0.025809887796640396,-0.005937847774475813,-1
64,-0.0034882514737546444,-0.035830240696668625,1
65,-0.02878204919397831,-0.0053867450915277,-1
66,-0.004574968013912439,-0.011724742129445076,1
67,-0.009326579049229622,-0.0024558326695114374,-1
68,-0.00885175634175539,-0.0031532715074718,-1
69,-0.007414225023239851,-0.0024851332418620586,-1
70,-0.00295721972361207,-0.04120407998561859,1
71,-0.02347935177385807,-0.001868103165179491,-1
72,-0.00328944344073534,-0.02252858132123947,1
73,-0.0012520495802164078,-0.004930165596306324,1
74,-0.01725439913570881,-0.006779606454074383,-1
75,-0.0031659940723329782,-0.004269429482519627,1
76,-0.0077247219160199165,-0.015002720057964325,1
77,-0.013204068876802921,-0.0015987275401130319,-1
78,-0.022292016074061394,-0.005020114127546549,-1
79,-0.004436325281858444,-0.0020953314378857613,-1
80,-0.009610415436327457,-0.010318705812096596,1
81,-0.0019115720642730594,-0.01270653959363699,1
82,-0.0016968989511951804,-0.030552873387932777,1
83,-0.009205101989209652,-0.011163778603076935,1
84,-0.0023963707499206066,-0.0015816597733646631,-1
85,-0.0035901281516999006,-0.006436259485781193,1
86,-0.018008941784501076,-0.0031138681806623936,-1
87,-0.0038949386216700077,-0.020691679790616035,1
88,-0.006703149061650038,-0.008598723448812962,1
89,-0.0027260782662779093,-0.046696361154317856,1
90,-0.004781592171639204,-0.018537070602178574,1
91,-0.022580623626708984,-0.0050888387486338615,-1
92,-0.00261798151768744,-0.006304451264441013,1
93,-0.009276369586586952,-0.0026751067489385605,-1
94,-0.0012306872522458434,-0.004451145883649588,1
95,-0.002057369565591216,-0.01702890545129776,1
96,-0.0059291464276611805,-0.0044904365204274654,-1
97,-0.0052981446497142315,-0.020499996840953827,1
98,-0.0031255786307156086,-0.02104196697473526,1
99,-0.004052171017974615,-0.007114043924957514,1
