SampleID,score_XY,score_YX,labels
0,-0.0017105296719819307,-0.012538477778434753,1
1,-0.014964742586016655,-0.00415331544354558,-1
2,-0.038740262389183044,-0.009147526696324348,-1
3,-0.004605216905474663,-0.011036265641450882,1
4,-0.035684194415807724,-0.003589158644899726,-1
5,-0.013283995911478996,-0.005378442350775003,1
6,-0.014763608574867249,-0.0019926847890019417,-1
7,-0.010226271115243435,-0.007953714579343796,1
8,-0.019782565534114838,-0.0022710533812642097,-1
9,-0.004432212095707655,-0.013356046751141548,1
10,-0.022954029962420464,-0.0026458047796040773,-1
11,-0.006202849093824625,-0.016933614388108253,1
12,-0.003612037980929017,-0.003048501443117857,1
13,-0.0038269779179245234,-0.006334446370601654,-1
14,-0.0029990561306476593,-0.003155000740662217,-1
15,-0.029438441619277,-0.001988612813875079,-1
16,-0.007092309184372425,-0.004968076013028622,-1
17,-0.003946630749851465,-0.010370666161179543,-1
18,-0.010664536617696285,-0.00647087162360549,1
19,-0.007847651839256287,-0.004450017120689154,1
20,-0.01206683274358511,-0.010966887697577477,-1
21,-0.006283408030867577,-0.008849778212606907,1
22,-0.006513753905892372,-0.0033414107747375965,1
23,-0.006052587181329727,-0.030203789472579956,1
24,-0.014400322921574116,-0.0021920064464211464,-1
25,-0.02133795991539955,-0.008331598713994026,-1
26,-0.004758162889629602,-0.021334856748580933,1
27,-0.026245668530464172,-0.004030302632600069,-1
28,-0.00884956493973732,-0.002947042929008603,-1
29,-0.008019370958209038,-0.013546602800488472,1
30,-0.008718703873455524,-0.022028576582670212,1
31,-0.007316339761018753,-0.00845442432910204,1
32,-0.003197413869202137,-0.002576268743723631,-1
33,-0.004808204714208841,-0.014538192190229893,1
34,-0.011648764833807945,-0.0026959895621985197,-1
35,-0.004429161548614502,-0.0015821460401639342,-1
36,-0.013846319168806076,-0.003239934565499425,-1
37,-0.009103897958993912,-0.0058156526647508144,1
38,-0.00589338131248951,-0.031960777938365936,1
39,-0.008659536950290203,-0.0014849184080958366,-1
40,-0.008300921879708767,-0.0035161280538886786,-1
41,-0.013534084893763065,-0.010705463588237762,-1
42,-0.010737096890807152,-0.0037822448648512363,-1
43,-0.006365877576172352,-0.009618617594242096,-1
44,-0.002967395819723606,-0.0069203502498567104,1
45,-0.014195574447512627,-0.0041676354594528675,1
46,-0.008012654259800911,-0.00496548181399703,-1
47,-0.008134497329592705,-0.007002575322985649,1
48,-0.008854060433804989,-0.009683934971690178,1
49,-0.008940503001213074,-0.00269334833137691,-1
50,-0.005015777423977852,-0.005968904588371515,-1
51,-0.005344488192349672,-0.013790939003229141,1
52,-0.023047782480716705,-0.0008781342185102403,-1
53,-0.0027498146519064903,-0.014215957373380661,1
54,-0.0028954497538506985,-0.003782083746045828,1
55,-0.012224765494465828,-0.010557894594967365,-1
56,-0.0027040457352995872,-0.013136913999915123,1
57,-0.010203001089394093,-0.004356618970632553,1
58,-0.025136565789580345,-0.0024523448664695024,-1
59,-0.0019153521861881018,-0.0016425580251961946,1
60,-0.006076584570109844,-0.003585843602195382,-1
61,-0.008783156983554363,-0.009122415445744991,-1
62,-0.006670789327472448,-0.0021827819291502237,-1
63,-0.018826695159077644,-0.007831968367099762,-1
64,-0.030575597658753395,-0.005333749111741781,-1
65,-0.016306323930621147,-0.003894417779520154,-1
66,-0.007225541397929192,-0.021932262927293777,1
67,-0.004451180342584848,-0.036210838705301285,1
68,-0.011939125135540962,-0.0034924994688481092,-1
69,-0.006943229585886002,-0.02428620308637619,1
70,-0.0065552061423659325,-0.006135834846645594,1
71,-0.010116193443536758,-0.026276150718331337,1
72,-0.005030214320868254,-0.008191508240997791,1
73,-0.00885007157921791,-0.0020576592069119215,-1
74,-0.01122205052524805,-0.010538565926253796,-1
75,-0.005123340059071779,-0.002647417364642024,-1
76,-0.018388895317912102,-0.0045093209482729435,-1
77,-0.01295817643404007,-0.0014431644231081009,-1
78,-0.0030024799052625895,-0.020510923117399216,1
79,-0.0037089476827532053,-0.022163966670632362,1
80,-0.006743259262293577,-0.007724082097411156,-1
81,-0.0325479619204998,-0.008933503180742264,-1
82,-0.015398519113659859,-0.007410323712974787,-1
83,-0.0037787931505590677,-0.02224033698439598,1
84,-0.010023465380072594,-0.014337451197206974,-1
85,-0.0018702149391174316,-0.030588218942284584,1
86,-0.005651568528264761,-0.018077407032251358,1
87,-0.007144000846892595,-0.020689256489276886,1
88,-0.006831053178757429,-0.0023274149280041456,1
89,-0.004058459307998419,-0.005542023107409477,-1
90,-0.0035784412175416946,-0.01341309491544962,1
91,-0.0057519287802278996,-0.01869826391339302,1
92,-0.00672110402956605,-0.002010018564760685,-1
93,-0.004621469881385565,-0.010333577170968056,1
94,-0.0054344963282346725,-0.011759965680539608,1
95,-0.005872235167771578,-0.014409194700419903,1
96,-0.012234442867338657,-0.007013223133981228,-1
97,-0.0015833107754588127,-0.0051514641381800175,1
98,-0.008193126879632473,-0.00297011760994792,-1
99,-0.004907038062810898,-0.006052753888070583,1
