SampleID,score_XY,score_YX,labels
0,-0.002987587358802557,-0.001413915422745049,-1
1,-0.02332325465977192,-0.01925574615597725,1
2,-0.05451621487736702,-0.01779400184750557,-1
3,-0.02743605524301529,-0.01897927187383175,-1
4,-0.055041149258613586,-0.018844615668058395,-1
5,-0.04173945263028145,-0.015860633924603462,-1
6,-0.011911346577107906,-0.022747667506337166,1
7,-0.033871155232191086,-0.012292149476706982,-1
8,-0.048034824430942535,-0.015827085822820663,-1
9,-0.04732900857925415,-0.015003981068730354,-1
10,-0.023370742797851562,-0.018574897199869156,1
11,-0.023895883932709694,-0.025686131790280342,-1
12,-0.05549756810069084,-0.012659833766520023,-1
13,-0.017358187586069107,-0.044762130826711655,1
14,-0.025604411959648132,-0.02490643784403801,1
15,-0.054100871086120605,-0.012692105956375599,-1
16,-0.017103372141718864,-0.045674607157707214,1
17,-0.045767057687044144,-0.014599028043448925,-1
18,-0.021121032536029816,-0.020189251750707626,1
19,-0.012709762901067734,-0.04719214513897896,1
20,-0.016475465148687363,-0.04714621230959892,1
21,-0.025332527235150337,-0.02046893537044525,-1
22,-0.02237236499786377,-0.021992864087224007,1
23,-0.05289291962981224,-0.015202515758574009,-1
24,-0.014467562548816204,-0.053913336247205734,1
25,-0.01762588880956173,-0.04245206341147423,1
26,-0.010142667219042778,-0.018673110753297806,1
27,-0.045361243188381195,-0.013926783576607704,-1
28,-0.022204101085662842,-0.02215171791613102,-1
29,-0.0639527291059494,-0.011424543336033821,-1
30,-0.04925055429339409,-0.018328577280044556,-1
31,-0.01789313554763794,-0.01603030040860176,1
32,-0.06052764877676964,-0.019064832478761673,-1
33,-0.05142759904265404,-0.014456597156822681,-1
34,-0.017728237435221672,-0.03963516280055046,1
35,-0.013385584577918053,-0.05339885130524635,1
36,-0.018079688772559166,-0.01564684696495533,1
37,-0.029633142054080963,-0.0162035021930933,1
38,-0.03005712851881981,-0.01336474996060133,-1
39,-0.05801185593008995,-0.020047644153237343,-1
40,-0.003503944259136915,-0.0005593002424575388,-1
41,-0.05772344768047333,-0.0146696912124753,-1
42,-0.05322052910923958,-0.017034515738487244,-1
43,-0.02528868056833744,-0.013836677186191082,-1
44,-0.01961558498442173,-0.024168681353330612,-1
45,-0.016120504587888718,-0.047407858073711395,1
46,-0.012043269351124763,-0.045694395899772644,1
47,-0.04877015948295593,-0.01599034294486046,-1
48,-0.0015868962509557605,-0.0009537352598272264,-1
49,-0.031672533601522446,-0.022021792829036713,-1
50,-0.04294624924659729,-0.015722764655947685,-1
51,-0.019691085442900658,-0.009421898983418941,-1
52,-0.04481429234147072,-0.010780222713947296,-1
53,-0.014806580729782581,-0.04029284417629242,1
54,-0.023650087416172028,-0.012750201858580112,-1
55,-0.05386107787489891,-0.01933218166232109,-1
56,-0.027021590620279312,-0.024442031979560852,-1
57,-0.0259922593832016,-0.0072141410782933235,-1
58,-0.01670962944626808,-0.06263907253742218,1
59,-0.015912091359496117,-0.04987848550081253,1
60,-0.014588361606001854,-0.04954390600323677,1
61,-0.020199190825223923,-0.026223257184028625,1
62,-0.01854659430682659,-0.016469856724143028,1
63,-0.015824202448129654,-0.03224329277873039,1
64,-0.014957192353904247,-0.04490663483738899,1
65,-0.006051128264516592,-0.003574207192286849,-1
66,-0.014418592676520348,-0.0332801453769207,1
67,-0.015030029229819775,-0.05818383768200874,1
68,-0.04124128073453903,-0.01901143416762352,-1
69,-0.009303051978349686,-0.05451579391956329,1
70,-0.019194532185792923,-0.015336910262703896,1
71,-0.011666928417980671,-0.016803180798888206,1
72,-0.014825484715402126,-0.050300128757953644,1
73,-0.011699369177222252,-0.020098628476262093,1
74,-0.018788060173392296,-0.04769856482744217,1
75,-0.05417736619710922,-0.013906368985772133,-1
76,-0.028674334287643433,-0.025017382577061653,1
77,-0.02478315494954586,-0.023836975917220116,1
78,-0.005112636834383011,-0.0029968719463795424,-1
79,-0.05488472804427147,-0.01556789968162775,-1
80,-0.0020879306830465794,-0.0034938319586217403,1
81,-0.019703174009919167,-0.020822670310735703,-1
82,-0.018573584035038948,-0.016367776319384575,-1
83,-0.022976521402597427,-0.020223770290613174,-1
84,-0.0191136933863163,-0.021979670971632004,1
85,-0.018292447552084923,-0.019396819174289703,-1
86,-0.04671260714530945,-0.011395999230444431,-1
87,-0.020777786150574684,-0.021255919709801674,-1
88,-0.014756722375750542,-0.0462968535721302,1
89,-0.05394429713487625,-0.01592833176255226,-1
90,-0.016777783632278442,-0.01602236181497574,-1
91,-0.021857470273971558,-0.015846416354179382,-1
92,-0.017924094572663307,-0.058458566665649414,1
93,-0.02363424189388752,-0.019733496010303497,-1
94,-0.015034559182822704,-0.04491347074508667,1
95,-0.002920439699664712,-0.002600709907710552,1
96,-0.02572506293654442,-0.02873745746910572,-1
97,-0.059298381209373474,-0.014864449389278889,-1
98,-0.0009369655163027346,-0.0019082700600847602,1
99,-0.02658902294933796,-0.023060863837599754,-1
100,-0.010375121608376503,-0.04224272072315216,1
101,-0.02515714429318905,-0.02957995794713497,1
102,-0.020694008097052574,-0.02380158007144928,1
103,-0.015491780824959278,-0.050053708255290985,1
104,-0.01979180797934532,-0.023321017622947693,-1
105,-0.061806146055459976,-0.015131606720387936,-1
106,-0.048385825008153915,-0.012999656610190868,-1
107,-0.014213708229362965,-0.04919537901878357,1
108,-0.022626107558608055,-0.024579232558608055,1
109,-0.05283978208899498,-0.009603987447917461,-1
110,-0.016315756365656853,-0.01391212735325098,-1
111,-0.04828517138957977,-0.014277337118983269,-1
112,-0.021534034982323647,-0.024534709751605988,-1
113,-0.02446707896888256,-0.01611870341002941,-1
114,-0.04905819520354271,-0.012676792219281197,-1
115,-0.02131420187652111,-0.024484602734446526,1
116,-0.019357364624738693,-0.01619325578212738,-1
117,-0.026677824556827545,-0.028326665982604027,-1
118,-0.015750881284475327,-0.049776241183280945,1
119,-0.044536542147397995,-0.014455074444413185,-1
120,-0.004869711585342884,-0.006120425183326006,-1
121,-0.015252560377120972,-0.055231645703315735,1
122,-0.012212162837386131,-0.03606104850769043,1
123,-0.0026390766724944115,-0.004735881462693214,1
124,-0.023604698479175568,-0.02387935109436512,-1
125,-0.04667472839355469,-0.013650307431817055,-1
126,-0.020455017685890198,-0.01811039447784424,1
127,-0.01906309835612774,-0.018175574019551277,-1
128,-0.022848350927233696,-0.0174331683665514,1
129,-0.020787233486771584,-0.016469331458210945,-1
130,-0.02000589668750763,-0.008781635202467442,-1
131,-0.05378540977835655,-0.012146322056651115,-1
132,-0.0499337799847126,-0.016107726842164993,-1
133,-0.01561051607131958,-0.04169698804616928,1
134,-0.04661387950181961,-0.01213793270289898,-1
135,-0.009916036389768124,-0.05072503164410591,1
136,-0.04806235432624817,-0.014163273386657238,-1
137,-0.05258050560951233,-0.02003742940723896,-1
138,-0.06641466915607452,-0.015341944061219692,-1
139,-0.0018137609586119652,-0.003995443694293499,1
140,-0.02479533478617668,-0.024339541792869568,-1
141,-0.05659324303269386,-0.016145162284374237,-1
142,-0.04789341986179352,-0.013517127372324467,-1
143,-0.04019591957330704,-0.013928803615272045,-1
144,-0.006879117339849472,-0.0019037278834730387,-1
145,-0.025456514209508896,-0.021404121071100235,-1
146,-0.017476724460721016,-0.04670359194278717,1
147,-0.0632040947675705,-0.012883547693490982,-1
148,-0.01416340284049511,-0.035588447004556656,1
149,-0.05779075622558594,-0.016753071919083595,-1
150,-0.02472989819943905,-0.019470980390906334,-1
151,-0.02984044700860977,-0.02461649477481842,-1
152,-0.019275493919849396,-0.020413989201188087,-1
153,-0.046259619295597076,-0.01601734384894371,-1
154,-0.017313966527581215,-0.04299088567495346,1
155,-0.005512328818440437,-0.001083764829672873,-1
156,-0.029257936403155327,-0.02555239200592041,-1
157,-0.02243299037218094,-0.020027782768011093,1
158,-0.020141199231147766,-0.059619951993227005,1
159,-0.009864329360425472,-0.012949791736900806,1
160,-0.06497505307197571,-0.012702587991952896,-1
161,-0.04449523240327835,-0.01643400266766548,-1
162,-0.012258065864443779,-0.025774778798222542,1
163,-0.013599338941276073,-0.048589956015348434,1
164,-0.0211075060069561,-0.024219824001193047,1
165,-0.0582575798034668,-0.015259946696460247,-1
166,-0.048430249094963074,-0.012567826546728611,-1
167,-0.045542556792497635,-0.01330929808318615,-1
168,-0.021150076761841774,-0.027592161670327187,1
169,-0.018551548942923546,-0.020692532882094383,-1
170,-0.012276084162294865,-0.01791752129793167,1
171,-0.0017298717284575105,-0.004593072459101677,1
172,-0.04846499487757683,-0.01201755739748478,-1
173,-0.04601781815290451,-0.012445369735360146,-1
174,-0.048308465629816055,-0.008998929522931576,-1
175,-0.049891505390405655,-0.01582573726773262,-1
176,-0.01431617047637701,-0.05404020845890045,1
177,-0.05514026805758476,-0.011853376403450966,-1
178,-0.05258215218782425,-0.01287209615111351,-1
179,-0.011018482968211174,-0.023915370926260948,1
180,-0.011844434775412083,-0.043176040053367615,1
181,-0.05745963752269745,-0.01345835067331791,-1
182,-0.012827109545469284,-0.04749634861946106,1
183,-0.061988260596990585,-0.013786586932837963,-1
184,-0.020622795447707176,-0.027128692716360092,1
185,-0.022418193519115448,-0.01804184913635254,-1
