SampleID,score_XY,score_YX,labels
0,-0.01312649343162775,-0.01035101804882288,1
1,-0.053377665579319,-0.014217185787856579,-1
2,-0.04510970041155815,-0.008383844047784805,-1
3,-0.011960426345467567,-0.029461702331900597,1
4,-0.015040508471429348,-0.01613316871225834,1
5,-0.017559221014380455,-0.044771771878004074,1
6,-0.012730130925774574,-0.012628707103431225,-1
7,-0.015590586699545383,-0.017260223627090454,-1
8,-0.0160092543810606,-0.03683357685804367,1
9,-0.018761515617370605,-0.016764728352427483,1
10,-0.03376941382884979,-0.017064610496163368,-1
11,-0.018836695700883865,-0.015057910233736038,-1
12,-0.011802374385297298,-0.03597130626440048,1
13,-0.038637977093458176,-0.010891961865127087,-1
14,-0.03719870746135712,-0.0059751481749117374,-1
15,-0.011039238423109055,-0.012121029198169708,-1
16,-0.011710326187312603,-0.036651160567998886,1
17,-0.04540148749947548,-0.011956569738686085,-1
18,-0.015628516674041748,-0.015690801665186882,-1
19,-0.016884101554751396,-0.012200545519590378,1
20,-0.050841476768255234,-0.015069698914885521,-1
21,-0.017787694931030273,-0.013192662969231606,-1
22,-0.04371999204158783,-0.01286059245467186,-1
23,-0.014828546904027462,-0.015015375800430775,1
24,-0.015046841464936733,-0.038790494203567505,1
25,-0.029756829142570496,-0.010901565663516521,-1
26,-0.00939255766570568,-0.049956902861595154,1
27,-0.018193917348980904,-0.019441597163677216,1
28,-0.015448085963726044,-0.01465260423719883,-1
29,-0.012721546925604343,-0.04237808659672737,1
30,-0.023357629776000977,-0.008884532377123833,-1
31,-0.016272258013486862,-0.012975860387086868,-1
32,-0.054376762360334396,-0.011165079660713673,-1
33,-0.0467996709048748,-0.011975383386015892,-1
34,-0.014346244744956493,-0.00845780037343502,-1
35,-0.051098551601171494,-0.013703296892344952,-1
36,-0.0001086094489437528,-0.00013717389083467424,-1
37,-0.008080623112618923,-0.013284800574183464,1
38,-0.05609394982457161,-0.008226625621318817,-1
39,-0.020592929795384407,-0.022076796740293503,-1
40,-0.051650192588567734,-0.014841357246041298,-1
41,-0.019870128482580185,-0.01928483135998249,-1
42,-0.03021957539021969,-0.009310651570558548,-1
43,-0.01165118720382452,-0.045183081179857254,1
44,-0.055262718349695206,-0.010563911870121956,-1
45,-0.012008859775960445,-0.04706217348575592,1
46,-0.0076704067178070545,-0.001979616703465581,-1
47,-0.00035060560912825167,-0.00022339455608744174,1
48,-0.01893400214612484,-0.015801070258021355,-1
49,-0.013102341443300247,-0.04527444392442703,1
50,-0.01337162870913744,-0.011923686601221561,1
51,-0.014665843918919563,-0.04608811438083649,1
52,-0.02105177566409111,-0.018491318449378014,1
53,-0.017063099890947342,-0.01145435031503439,-1
54,-0.01363840326666832,-0.02031499519944191,1
55,-0.011717361398041248,-0.021641524508595467,1
56,-0.0146692655980587,-0.042359597980976105,1
57,-0.01407685037702322,-0.016506843268871307,-1
58,-0.0530543327331543,-0.010157756507396698,-1
59,-0.007894800044596195,-0.009569601155817509,1
60,-0.012694068253040314,-0.005726239178329706,-1
61,-0.016292057931423187,-0.01966153457760811,1
62,-0.05084829404950142,-0.013399186544120312,-1
63,-0.018491121008992195,-0.01991870068013668,-1
64,-0.016720959916710854,-0.015401845797896385,-1
65,-0.017239395529031754,-0.03835740685462952,1
66,-0.01751021295785904,-0.014652718789875507,-1
67,-0.050829146057367325,-0.013880625367164612,-1
68,-0.04968062788248062,-0.011096612550318241,-1
69,-0.0456918403506279,-0.011370153166353703,-1
70,-0.014595926739275455,-0.04739270359277725,1
71,-0.010519682429730892,-0.05125502124428749,1
72,-0.01573420688509941,-0.012454540468752384,-1
73,-0.012914472259581089,-0.04107270762324333,1
74,-0.007317507639527321,-0.010683540254831314,1
75,-0.04634608328342438,-0.011885424144566059,-1
76,-0.0002425691782264039,-0.0009271177113987505,1
77,-0.03872692957520485,-0.014348632656037807,-1
78,-0.017414936795830727,-0.020124167203903198,1
79,-0.042624376714229584,-0.010716620832681656,-1
80,-0.01606152579188347,-0.019794568419456482,1
81,-0.01029382273554802,-0.04263854771852493,1
82,-0.013816064223647118,-0.035688359290361404,1
83,-0.05086766183376312,-0.00890476256608963,-1
84,-0.01515856571495533,-0.016130581498146057,1
85,-0.01803348958492279,-0.01468875352293253,-1
86,-0.01782356947660446,-0.01405158918350935,-1
87,-0.03005421906709671,-0.011235550045967102,-1
88,-0.011303217150270939,-0.009565658867359161,1
89,-0.0005281977355480194,-0.0009745628340169787,1
90,-0.054868780076503754,-0.013617698103189468,-1
91,-0.01820399984717369,-0.04996313154697418,1
92,-0.014140368439257145,-0.013092530891299248,-1
93,-0.014754462987184525,-0.04511912912130356,1
94,-0.016918936744332314,-0.04047000780701637,1
95,-0.014072712510824203,-0.014533339999616146,-1
96,-0.013585275039076805,-0.04051054269075394,1
97,-0.01092529110610485,-0.04431620612740517,1
98,-0.008722689934074879,-0.04888959601521492,1
99,-0.018270237371325493,-0.016875015571713448,-1
100,-0.010894748382270336,-0.03591149300336838,1
101,-0.015016501769423485,-0.04279491305351257,1
102,-0.04677595943212509,-0.011208146810531616,-1
103,-0.00021203627693466842,-0.00021865434246137738,-1
104,-0.01260671392083168,-0.01589500717818737,-1
105,-0.012055997736752033,-0.05092834681272507,1
106,-0.013958202674984932,-0.00669627683237195,-1
107,-0.012132679112255573,-0.030446773394942284,1
108,-0.015297354198992252,-0.01665796898305416,1
109,-0.051955871284008026,-0.012310121208429337,-1
110,-0.010239049792289734,-0.022646905854344368,1
111,-0.03249787166714668,-0.011209024116396904,-1
112,-0.03828275203704834,-0.010164749808609486,-1
113,-0.04504412040114403,-0.01203081663697958,-1
114,-0.042394839227199554,-0.014442989602684975,-1
115,-0.006711279042065144,-0.008629219606518745,1
116,-0.01119178719818592,-0.036023933440446854,1
117,-0.05567040294408798,-0.01009072083979845,-1
118,-0.03139603137969971,-0.011210862547159195,-1
119,-0.012211521156132221,-0.012702396139502525,-1
120,-0.05809668451547623,-0.011088510975241661,-1
121,-0.01288399938493967,-0.01866338774561882,-1
122,-0.014427848160266876,-0.04170152544975281,1
123,-0.05584009364247322,-0.013548767194151878,-1
124,-0.014838137663900852,-0.038112297654151917,1
125,-0.011750656180083752,-0.03471054509282112,1
126,-0.02133883535861969,-0.020172415301203728,-1
127,-0.012134128250181675,-0.006769885309040546,1
128,-0.011762659065425396,-0.04633764922618866,1
129,-0.011728246696293354,-0.038651056587696075,1
130,-0.05033471807837486,-0.010049195028841496,-1
131,-0.04589228332042694,-0.01723433844745159,-1
132,-0.015963764861226082,-0.016518989577889442,-1
133,-0.05382798984646797,-0.01394173875451088,-1
134,-0.014257624745368958,-0.024110965430736542,1
135,-0.015806667506694794,-0.012541615404188633,1
136,-0.019025219604372978,-0.020597752183675766,-1
137,-0.03678324818611145,-0.011991877108812332,-1
138,-0.051536478102207184,-0.010045042261481285,-1
139,-0.05024884268641472,-0.00918907392770052,-1
140,-0.010621640831232071,-0.011905137449502945,1
141,-0.01482072751969099,-0.01631922833621502,-1
