SampleID,score_XY,score_YX,labels
pair1,-0.009556486271321774,-0.0033323518000543118,-1.0
pair2,-0.003751527052372694,-0.005008033476769924,-1.0
pair3,-0.008115237578749657,-0.001940582413226366,-1.0
pair4,-0.0023273301776498556,-0.0025397830177098513,-1.0
pair5,-0.003179877530783415,-0.0013184825656935573,-1.0
pair6,-0.002686189953237772,-0.0018572671106085181,-1.0
pair7,-0.0030405307188630104,-0.0013785548508167267,-1.0
pair8,-0.0017234190599992871,-0.0013972361339256167,-1.0
pair9,-0.0025307489559054375,-0.0016352123348042369,-1.0
pair10,-0.003494593547657132,-0.0015730814775452018,-1.0
pair11,-0.0024457869585603476,-0.001341463066637516,-1.0
pair12,-0.003376329317688942,-0.0028903449419885874,-1.0
pair13,-0.00929846428334713,-0.002332000294700265,-1.0
pair14,-0.003098650136962533,-0.0044006104581058025,-1.0
pair15,-0.004071651957929134,-0.004815482534468174,-1.0
pair16,-0.0034762194845825434,-0.005723659414798021,-1.0
pair17,-0.0001723617606330663,-0.0010699121048673987,-1.0
pair18,-0.005450590513646603,-0.005382171832025051,-1.0
pair19,-0.02080458588898182,-0.013795319013297558,-1.0
pair20,-0.005441137123852968,-0.015582186169922352,-1.0
pair21,-0.005006253253668547,-0.013537390157580376,-1.0
pair22,-0.005403534043580294,-0.0018648647237569094,-1.0
pair23,-0.0042555201798677444,-0.0029604679439216852,-1.0
pair24,-0.003606687532737851,-0.0028302879072725773,-1.0
pair25,-0.0021787844598293304,-0.001006978563964367,-1.0
pair26,-0.002852063160389662,-0.0019344998290762305,-1.0
pair27,-0.0024951135274022818,-0.0035521911922842264,-1.0
pair28,-0.006026783026754856,-0.00152036442887038,-1.0
pair29,-0.003345414763316512,-0.002535842824727297,-1.0
pair30,-0.0011111623607575893,-0.003143268171697855,-1.0
pair31,-0.0021199395414441824,-0.0011725601507350802,-1.0
pair32,-0.004586341790854931,-0.0020157359540462494,-1.0
pair33,-0.0027907579205930233,-0.0013929596170783043,-1.0
pair34,-0.007840510457754135,-0.00042240312905050814,-1.0
pair35,-0.0035253039095550776,-0.002503814175724983,-1.0
pair36,-0.0032767681404948235,-0.0032687883358448744,-1.0
pair37,-0.0010307588381692767,-0.004787464626133442,-1.0
pair38,-0.0016779652796685696,-0.001556511502712965,-1.0
pair39,-0.0025650456082075834,-0.0036476380191743374,-1.0
pair40,-0.003991934936493635,-0.002435593632981181,-1.0
pair41,-0.0011412525782361627,-0.001618562382645905,-1.0
pair42,-0.028040451928973198,-0.0006094323471188545,-1.0
pair43,-0.018012169748544693,-0.01754390262067318,-1.0
pair44,-0.008897488005459309,-0.010081961750984192,-1.0
pair45,-0.004466360434889793,-0.0036757143680006266,-1.0
pair46,-0.0037789528723806143,-0.002431676024571061,-1.0
pair47,-0.010189839638769627,-0.005472720600664616,-1.0
pair48,-0.022565195336937904,-0.017156843096017838,-1.0
pair49,-0.007741203997284174,-0.0029316789004951715,-1.0
pair50,-0.004536724183708429,-0.0035865146201103926,1.0
pair51,-0.007063343655318022,-0.0038436155300587416,1.0
pair52,-0.011692198924720287,-0.01716448925435543,1.0
pair53,-0.009699803777039051,-0.012948576360940933,1.0
pair54,-0.010769913904368877,-0.012838070280849934,1.0
pair55,-0.011253253556787968,-0.013645568862557411,1.0
