SampleID,score_XY,score_YX,labels
0,-4.6759467,-15.808225,1
1,-4.436154,-17.641565,-1
2,-4.399745,-15.933252,1
3,-3.991816,-17.651949,1
4,-4.6804347,-17.344055,1
5,-3.9888434,-14.859348,-1
6,-4.869234,-17.065237,-1
7,-4.4699945,-17.404978,1
8,-4.3960834,-16.894184,-1
9,-4.7466097,-18.101648,1
10,-4.8131256,-18.727837,1
11,-4.668209,-17.339169,-1
12,-4.9437666,-18.29761,-1
13,-4.3682847,-18.430304,1
14,-4.9180255,-18.46385,-1
15,-4.61954,-19.292421,-1
16,-4.7095385,-19.470423,-1
17,-4.6274614,-18.870216,1
18,-4.4658985,-19.841309,1
19,-4.917305,-20.146753,1
20,-4.653736,-20.052464,1
21,-4.7286787,-15.278298,1
22,-4.432685,-18.79115,1
23,-4.637007,-17.966763,-1
24,-4.8827477,-16.122625,-1
25,-4.634416,-16.463364,1
26,-4.663902,-19.1159,1
27,-4.4085717,-16.92394,-1
28,-4.542022,-17.33095,1
29,-4.3845587,-17.925505,-1
30,-4.6620116,-16.816065,-1
31,-4.7136235,-14.854262,1
32,-4.356729,-16.063553,1
33,-4.453786,-19.85363,1
34,-4.624779,-18.089075,1
35,-4.9972963,-17.306442,-1
36,-4.2818594,-17.28725,1
37,-4.6727734,-19.303705,1
38,-4.3780956,-17.115826,-1
39,-4.414776,-17.662024,1
40,-4.560454,-15.503672,1
41,-4.8251805,-19.233063,1
42,-4.484645,-17.762772,1
43,-3.9623468,-16.91447,-1
44,-4.6127586,-19.332335,1
45,-4.8370495,-16.67791,-1
46,-4.608436,-17.580433,1
47,-4.405095,-17.492924,1
48,-5.255537,-17.586365,-1
49,-5.076474,-17.399595,-1
50,-4.629366,-17.678223,-1
51,-4.791949,-19.032988,-1
52,-4.8149385,-20.589006,1
53,-4.491681,-20.99831,1
54,-3.8484607,-16.355186,-1
55,-4.470104,-18.406841,-1
56,-4.62069,-17.257109,1
57,-4.419163,-15.970329,-1
58,-4.7835717,-18.548534,-1
59,-4.6446104,-16.478996,-1
60,-3.8445432,-17.09109,-1
61,-4.49605,-16.874554,-1
62,-4.4265833,-17.064337,-1
63,-4.7194786,-17.695906,-1
64,-4.6594543,-18.07147,1
65,-4.595136,-17.556572,-1
66,-4.475343,-17.375198,1
67,-4.330516,-18.19289,-1
68,-4.7769427,-19.052336,-1
69,-4.391726,-17.903538,-1
70,-4.636583,-18.29258,1
71,-4.5240088,-16.966888,-1
72,-4.533805,-20.062101,1
73,-4.4146852,-16.109808,1
74,-4.7467713,-18.226477,-1
75,-4.806481,-19.40887,1
76,-4.609922,-17.640715,1
77,-5.1774354,-18.629261,-1
78,-4.700539,-17.218664,-1
79,-4.2595778,-17.294493,-1
80,-4.408374,-16.400965,1
81,-4.632383,-17.815424,1
82,-4.3418827,-17.421358,1
83,-4.699732,-18.452505,1
84,-4.5508914,-18.133446,-1
85,-4.5076146,-18.727232,1
86,-5.050458,-17.805656,-1
87,-4.7466717,-18.936426,1
88,-4.398315,-17.939548,1
89,-4.785426,-19.32282,1
90,-4.4558897,-18.182634,1
91,-4.592342,-19.050312,-1
92,-4.8997965,-19.421925,1
93,-4.750471,-18.320263,-1
94,-4.6451545,-18.582582,1
95,-4.421677,-18.51258,1
96,-4.537465,-18.897184,-1
97,-4.715178,-18.885612,1
98,-4.5813723,-18.80218,1
99,-4.6498537,-19.778347,1
