SampleID,score_XY,score_YX,labels
0,-8.87238,-4.307752,1
1,-8.916141,-4.752201,-1
2,-6.6098976,-4.50745,-1
3,-7.99098,-4.5598207,1
4,-6.7266064,-5.07168,-1
5,-8.963825,-6.02547,1
6,-8.755543,-5.0027046,-1
7,-8.069472,-3.6103516,1
8,-6.6254025,-5.045696,-1
9,-8.564921,-5.8285923,1
10,-8.066516,-5.11259,-1
11,-7.711727,-4.7122483,1
12,-7.886782,-4.4469056,1
13,-6.433585,-4.346609,-1
14,-8.859436,-5.400476,-1
15,-8.483379,-4.5337563,-1
16,-7.988283,-5.2408385,-1
17,-7.5949354,-5.7796726,-1
18,-8.590681,-5.6997094,1
19,-8.183422,-5.6985927,1
20,-8.380343,-5.8269057,-1
21,-8.160976,-5.6191673,1
22,-8.427845,-3.3224368,1
23,-7.922618,-5.452077,1
24,-8.154139,-4.3079066,-1
25,-7.2237153,-4.925615,-1
26,-7.259143,-4.6234393,1
27,-9.276316,-5.1824865,-1
28,-8.203854,-4.5905724,-1
29,-8.285572,-4.733709,1
30,-8.288006,-5.090144,1
31,-8.284303,-5.031795,1
32,-7.422101,-4.2873898,-1
33,-8.211572,-4.233039,1
34,-6.56563,-4.9057636,-1
35,-7.7658653,-5.8835473,-1
36,-8.204425,-4.8764663,-1
37,-8.157228,-5.7485933,1
38,-8.376718,-5.602487,1
39,-8.27484,-5.006874,-1
40,-7.538668,-4.9586964,-1
41,-8.620876,-5.654137,-1
42,-7.1814895,-5.2701716,-1
43,-8.010925,-4.265183,-1
44,-8.612122,-5.003354,1
45,-7.843264,-5.5268598,1
46,-8.403381,-4.690855,-1
47,-7.0541563,-4.5726795,1
48,-7.774518,-4.962104,1
49,-7.134567,-4.6353965,-1
50,-7.1758375,-5.455056,-1
51,-8.16812,-4.495789,1
52,-8.829739,-4.69186,-1
53,-7.9846897,-4.8212667,1
54,-8.842369,-5.225676,1
55,-7.7823253,-5.5600667,-1
56,-8.239901,-5.2508,1
57,-7.472074,-5.0561223,1
58,-8.398052,-5.248407,-1
59,-7.468755,-4.801607,1
60,-7.838928,-5.106856,-1
61,-8.004931,-4.8925004,-1
62,-6.8657355,-4.662111,-1
63,-5.8528166,-5.246663,-1
64,-8.413152,-5.2558413,-1
65,-7.6099443,-4.9488206,-1
66,-9.182952,-4.9786716,1
67,-7.404717,-5.0741816,1
68,-8.203961,-5.4534483,-1
69,-8.585713,-5.1853004,1
70,-8.507671,-4.879685,1
71,-7.893767,-5.6852207,1
72,-8.055747,-4.8318605,1
73,-7.052021,-4.260371,-1
74,-5.6296496,-4.4669046,-1
75,-8.443351,-6.077028,-1
76,-9.112213,-4.5222545,-1
77,-8.276837,-4.6749935,-1
78,-7.670486,-4.768226,1
79,-8.035474,-4.774126,1
80,-7.6372285,-4.5993257,-1
81,-7.101431,-5.2180424,-1
82,-7.8158073,-4.942483,-1
83,-8.24838,-5.5481825,1
84,-6.314353,-4.2352057,-1
85,-8.022968,-4.9301686,1
86,-7.6945386,-4.312971,1
87,-7.6751637,-5.3755455,1
88,-7.959384,-4.4035645,1
89,-6.6508274,-4.535294,-1
90,-7.978454,-5.5846167,1
91,-8.615862,-4.557729,1
92,-9.4600115,-5.3029213,-1
93,-8.661512,-4.9595265,1
94,-8.256547,-5.631256,1
95,-7.8985167,-4.290467,1
96,-8.9134655,-4.455859,-1
97,-8.649889,-4.538693,1
98,-8.730685,-4.193834,-1
99,-7.4497876,-5.7572546,1
