SampleID,score_XY,score_YX,labels
0,-4.734055,-18.310192,1
1,-4.9025536,-18.852346,1
2,-4.8376575,-18.142756,1
3,-4.209997,-19.695736,-1
4,-4.5792155,-20.81864,-1
5,-4.356856,-18.011206,-1
6,-4.1083956,-18.617962,-1
7,-4.498828,-20.572737,-1
8,-4.867452,-19.183165,1
9,-4.9675794,-18.478796,-1
10,-4.292954,-20.099686,-1
11,-5.092681,-15.930692,1
12,-4.012174,-19.114511,-1
13,-4.4805965,-16.144968,1
14,-4.9477234,-16.306253,1
15,-4.6627593,-16.507555,1
16,-4.950503,-20.62896,1
17,-3.8717005,-20.712652,-1
18,-5.19622,-19.227594,1
19,-3.8770568,-18.890411,-1
20,-4.647662,-20.161768,-1
21,-3.912129,-19.655878,-1
22,-4.84036,-18.530651,1
23,-4.347663,-20.315376,-1
24,-4.816925,-18.15281,1
25,-4.3675437,-19.672436,-1
26,-4.613508,-19.965446,-1
27,-5.2176867,-16.905945,1
28,-4.6111574,-18.987617,-1
29,-4.1362815,-20.203983,-1
30,-4.7293744,-19.330336,1
31,-4.766172,-19.85725,1
32,-4.9051023,-20.736496,1
33,-4.8559523,-16.138704,1
34,-4.584685,-15.355699,1
35,-3.678713,-20.046682,-1
36,-4.88844,-19.10521,1
37,-4.6331115,-18.633593,1
38,-3.766693,-19.344568,-1
39,-4.83215,-18.910585,1
40,-4.382623,-20.186878,-1
41,-4.549049,-16.230574,1
42,-4.485112,-19.10055,-1
43,-4.7523007,-20.130814,1
44,-4.71691,-17.322271,1
45,-4.0127335,-18.724415,-1
46,-4.1072474,-19.765312,-1
47,-4.165368,-18.4512,-1
48,-4.1500025,-19.827515,-1
49,-4.2557178,-19.68446,-1
50,-5.241189,-18.86361,1
51,-3.6543489,-20.399635,-1
52,-4.615224,-18.692205,1
53,-4.8469505,-20.03194,-1
54,-4.9370894,-20.034222,1
55,-4.231629,-20.383865,-1
56,-4.6391096,-17.542778,1
57,-3.9284508,-18.844477,-1
58,-4.7201285,-18.53353,1
59,-5.1093764,-20.616898,-1
60,-3.4667382,-19.938927,-1
61,-5.070085,-17.00447,1
62,-4.596228,-20.737158,-1
63,-4.115151,-18.474174,-1
64,-4.8459263,-19.582466,1
65,-4.795296,-19.784582,1
66,-4.898956,-16.91537,1
67,-3.88836,-19.469124,-1
68,-3.7686841,-20.22697,-1
69,-4.8962007,-20.705845,1
70,-3.9010558,-20.469915,-1
71,-4.7505217,-15.017669,1
72,-3.7728739,-18.614204,-1
73,-4.02437,-19.471855,-1
74,-4.683706,-16.172539,1
75,-4.677622,-21.039263,1
76,-5.1118135,-20.143797,1
77,-4.3264804,-18.061207,-1
78,-4.559777,-18.214052,-1
79,-4.9884844,-16.411032,1
80,-4.692625,-17.854126,1
81,-4.154134,-19.495783,-1
82,-4.7016077,-19.952932,-1
83,-4.861559,-18.627678,1
84,-5.005107,-16.475935,1
85,-4.2717986,-19.671415,-1
86,-4.1206336,-19.571907,-1
87,-4.8413186,-18.669815,1
88,-4.616568,-19.977348,-1
89,-4.8992243,-19.68068,-1
90,-4.694739,-18.69648,-1
91,-4.6924896,-18.274853,1
92,-5.0912647,-19.775501,1
93,-4.665246,-17.652596,1
94,-5.122961,-20.739202,-1
95,-4.8786454,-19.846077,1
96,-4.650307,-18.458344,1
97,-3.896101,-20.271278,-1
98,-4.2340746,-19.444826,-1
99,-4.820789,-17.936874,1
