SampleID,score_XY,score_YX,labels
0,-2.2473574,-4.742426,-1
1,-4.326736,-4.701068,1
2,-4.8877707,-4.742918,-1
3,-3.9301195,-4.8024855,-1
4,-5.1516504,-4.6333456,-1
5,-4.6532927,-4.874302,-1
6,-4.2427673,-4.8162637,1
7,-3.6909797,-4.8026752,-1
8,-4.792779,-4.5896173,-1
9,-4.4863195,-4.877924,-1
10,-4.8628774,-4.735413,1
11,-3.6946113,-4.7820225,-1
12,-4.6557035,-4.8082876,-1
13,-4.610483,-4.832632,1
14,-4.391722,-4.570363,1
15,-4.0698934,-4.84939,-1
16,-4.7809963,-4.8073807,1
17,-4.1527495,-4.921334,-1
18,-4.543498,-4.8201976,1
19,-4.670111,-4.678858,1
20,-4.9030995,-4.637531,1
21,-4.223031,-4.8933396,-1
22,-4.059057,-4.7972274,1
23,-5.1390076,-4.6483946,-1
24,-4.6487484,-4.62486,1
25,-4.356871,-4.8917637,1
26,-4.2392483,-4.9045076,1
27,-4.5881586,-4.6844506,-1
28,-4.378874,-4.972345,-1
29,-4.6389875,-4.7620454,-1
30,-4.635802,-4.712185,-1
31,-4.087892,-4.7667894,1
32,-4.7485967,-4.539642,-1
33,-4.8045526,-4.6067815,-1
34,-4.7939143,-4.8733997,1
35,-4.421637,-4.469427,1
36,-4.3551664,-4.7077265,1
37,-4.7147627,-4.9984727,1
38,-2.3850868,-4.820796,-1
39,-4.9820685,-4.7259483,-1
40,-2.668845,-4.8141174,-1
41,-4.9819593,-4.685983,-1
42,-4.320479,-4.7677445,-1
43,-4.904176,-4.6344166,-1
44,-5.1180415,-4.6910377,-1
45,-4.9073696,-4.889412,1
46,-4.780563,-4.5556374,1
47,-4.3644733,-4.8391094,-1
48,-6.244176,-4.7205324,-1
49,-4.8925204,-4.686567,-1
50,-4.733996,-4.8049726,-1
51,-3.4465966,-4.8374434,-1
52,-3.2862704,-4.824799,-1
53,-4.1279345,-4.902197,1
54,-2.5782948,-4.817264,-1
55,-4.56573,-4.74648,-1
56,-5.0052476,-4.609493,-1
57,-2.9559133,-4.769211,-1
58,-4.610957,-4.6181684,1
59,-4.2082996,-4.8921065,1
60,-4.733956,-4.843081,1
61,-4.2624297,-4.7585444,1
62,-4.2613115,-4.6944323,1
63,-4.577404,-4.892752,1
64,-4.4221253,-4.776432,1
65,-2.0864086,-4.7546253,-1
66,-4.639644,-4.9065065,1
67,-4.716001,-4.5436196,1
68,-4.376871,-4.8639507,-1
69,-4.4193506,-4.576996,1
70,-4.966089,-4.8012023,1
71,-4.7701483,-4.892957,1
72,-4.6863046,-4.8294277,1
73,-4.2465067,-4.818239,1
74,-4.5484548,-4.8284283,1
75,-4.1292286,-4.854596,-1
76,-4.709528,-4.718063,1
77,-4.5898647,-4.735401,1
78,-2.2004035,-4.7137456,-1
79,-4.833021,-4.8006053,-1
80,-4.2671533,-4.804503,1
81,-4.4673815,-4.793296,-1
82,-4.734807,-4.7358317,-1
83,-3.9495165,-4.768114,-1
84,-4.4449596,-4.7930064,1
85,-5.0493116,-4.448401,-1
86,-3.6582427,-4.9349217,-1
87,-4.5106215,-4.690807,-1
88,-4.7554274,-4.4640083,1
89,-5.1442623,-4.831883,-1
90,-3.8709683,-4.8006506,-1
91,-3.9029846,-4.7768693,-1
92,-5.007559,-4.7792993,1
93,-5.2904744,-4.7372637,-1
94,-4.4238725,-4.8440046,1
95,-4.1546006,-4.7847505,1
96,-5.023219,-4.772485,-1
97,-5.178317,-4.5984235,-1
98,-4.0100284,-4.750788,1
99,-4.756988,-4.699203,-1
100,-4.5232525,-4.473401,1
101,-4.987436,-4.744814,1
102,-4.722283,-4.681696,1
103,-4.539391,-4.8322196,1
104,-5.010971,-4.8033886,-1
105,-4.5596676,-4.8620763,-1
106,-4.7078705,-4.7735,-1
107,-4.5942407,-4.5470433,1
108,-4.890623,-4.7323537,1
109,-5.0800123,-4.671324,-1
110,-4.4148297,-4.961713,-1
