SampleID,score_XY,score_YX,labels
0,-3.892913,-4.726312,1
1,-4.7784123,-4.817951,-1
2,-3.8546276,-4.8808384,-1
3,-4.349873,-4.8082466,1
4,-3.9228497,-4.76153,1
5,-4.3811393,-4.832415,1
6,-4.757826,-4.593358,-1
7,-4.8066545,-4.7034774,-1
8,-4.438486,-4.593815,1
9,-4.5408177,-4.758943,1
10,-3.7350354,-4.922552,-1
11,-4.404028,-4.810037,-1
12,-4.334418,-4.6510024,1
13,-4.7838006,-4.6273518,-1
14,-4.0162916,-4.897861,-1
15,-3.1959229,-4.793822,-1
16,-4.5946774,-4.8594713,1
17,-4.225141,-4.8226576,-1
18,-3.6679528,-4.8192067,-1
19,-4.3279643,-4.6438007,1
20,-4.8006783,-4.7721653,-1
21,-3.5579996,-4.764259,-1
22,-4.881482,-4.5419025,-1
23,-4.390246,-4.853826,1
24,-4.4225717,-4.582025,1
25,-3.7781003,-4.956364,-1
26,-4.015955,-4.908019,1
27,-4.567549,-4.728248,1
28,-4.5611477,-4.689945,-1
29,-4.479192,-4.6066747,1
30,-2.9358015,-4.763826,-1
31,-3.3279529,-4.760276,-1
32,-4.556673,-4.8512135,-1
33,-4.310139,-4.8380303,-1
34,-1.8790206,-4.7655244,-1
35,-4.5968156,-4.7570677,-1
36,-2.1020875,-4.597889,-1
37,-4.3356447,-4.879188,1
38,-5.076419,-4.5719905,-1
39,-4.621842,-4.7500873,-1
40,-5.106093,-4.6302834,-1
41,-5.1910176,-4.712375,-1
42,-2.9387927,-4.845053,-1
43,-4.6123824,-4.574597,1
44,-4.84082,-4.8220887,-1
45,-4.471188,-4.5866995,1
46,-1.7200145,-4.675524,-1
47,-4.2297783,-4.7806354,1
48,-5.207976,-4.7490296,-1
49,-4.56066,-4.601589,1
50,-4.0022717,-4.773668,1
51,-4.1648426,-4.8186173,1
52,-4.4721227,-4.869473,1
53,-3.506526,-4.8087463,-1
54,-4.300028,-4.814251,1
55,-4.435868,-4.8567977,1
56,-4.2383246,-4.867756,1
57,-4.554762,-4.4564776,-1
58,-5.0371304,-4.6264896,-1
59,-4.298283,-4.9663463,1
60,-2.0851908,-4.7674403,-1
61,-4.191675,-4.806279,1
62,-4.84928,-4.6876116,-1
63,-4.513267,-4.5741467,-1
64,-4.2363825,-4.501307,-1
65,-3.9373918,-4.922561,1
66,-3.9988163,-4.900275,-1
67,-4.0975738,-4.808446,-1
68,-4.8571086,-4.673982,-1
69,-5.0932145,-4.668547,-1
70,-4.7585616,-4.8360295,1
71,-4.6898513,-4.833231,1
72,-4.72413,-4.4499354,-1
73,-4.69171,-4.901988,1
74,-4.48499,-4.8134212,1
75,-4.8250837,-4.817848,-1
76,-3.87459,-4.7886977,1
77,-4.637237,-4.5245705,-1
78,-4.874445,-4.7313643,1
79,-4.5899544,-4.766464,-1
80,-4.414257,-4.701613,1
81,-4.160038,-4.85137,1
82,-4.244927,-4.85834,1
83,-4.9576454,-4.7219763,-1
84,-4.3988743,-5.0171876,1
85,-5.12473,-4.6430287,-1
86,-3.7309356,-4.798147,-1
87,-3.2618804,-4.8361616,-1
88,-3.9717267,-4.8494616,1
89,-3.6425793,-4.692597,1
90,-5.0644803,-4.550388,-1
91,-4.5515594,-4.710588,1
92,-4.2194495,-4.8781757,-1
93,-4.7259917,-4.550133,1
94,-4.1383195,-4.8453674,1
95,-3.8791518,-4.918892,-1
96,-4.8919406,-4.926826,1
97,-4.7130694,-4.8385205,1
98,-3.87715,-4.4952297,1
99,-5.119394,-4.5680485,-1
100,-4.4008284,-4.915797,1
101,-4.801556,-4.454502,1
102,-3.8730488,-4.8692384,-1
103,-2.14538,-4.6027255,-1
104,-4.8333244,-4.516118,-1
105,-4.47243,-4.6423335,1
106,-3.7688336,-4.8160057,-1
107,-4.40804,-4.874585,1
108,-4.0752187,-4.7685823,1
109,-4.742495,-4.841812,-1
110,-4.370647,-4.7978044,1
111,-3.956264,-4.9450045,-1
112,-3.1141922,-4.8068047,-1
113,-4.1150846,-4.929272,-1
114,-3.5449412,-4.822446,-1
115,-3.7412305,-4.8653994,1
116,-4.027579,-4.9024367,1
117,-4.7948027,-4.6230774,-1
118,-3.5599744,-4.960146,-1
119,-3.4232752,-4.811322,-1
120,-4.497814,-4.8168187,-1
121,-3.551915,-4.8061585,-1
