SampleID,score_XY,score_YX,labels
0,-4.924776,-4.7437816,-1
1,-4.772396,-4.6738267,1
2,-5.243117,-4.6498375,-1
3,-5.0038066,-4.6979127,-1
4,-5.1546717,-4.7976995,1
5,-4.676077,-4.706609,1
6,-5.0122466,-4.7958245,1
7,-5.3129725,-4.6311364,-1
8,-5.2812085,-4.6436863,-1
9,-5.1740923,-4.52379,1
10,-5.1996727,-4.7908893,1
11,-5.0663924,-4.686931,-1
12,-4.857675,-4.794018,-1
13,-4.7308655,-4.570316,1
14,-4.8873672,-4.7760878,-1
15,-5.2147565,-4.6358314,-1
16,-4.383275,-4.7393007,-1
17,-5.1156654,-4.816932,1
18,-5.135239,-4.7012224,-1
19,-4.0929427,-4.787164,-1
20,-5.222689,-4.676045,1
21,-4.1956334,-4.8784504,-1
22,-4.361126,-4.7533207,-1
23,-5.1645813,-4.7013307,-1
24,-5.1088076,-4.7386937,1
25,-5.0701647,-4.553275,1
26,-4.933979,-4.761286,-1
27,-4.666423,-4.9324675,1
28,-5.3171387,-4.7843213,1
29,-5.0893016,-4.6596227,-1
30,-5.0949883,-4.5945897,1
31,-5.2488337,-4.836229,-1
32,-4.4791775,-4.7378206,-1
33,-5.2547865,-4.697418,-1
34,-4.908417,-4.687325,-1
35,-4.292217,-4.821441,-1
36,-5.2041674,-4.6339073,-1
37,-4.1005297,-4.908278,-1
38,-5.0496187,-4.8319507,1
39,-4.792094,-4.7643566,-1
40,-5.171714,-4.67303,-1
41,-4.8891187,-4.728525,-1
42,-5.5760193,-4.6418858,-1
43,-4.8912854,-4.7914686,-1
44,-5.279971,-4.5742497,1
45,-4.5109296,-4.91064,-1
46,-5.1824517,-4.567754,1
47,-3.7796814,-4.8485746,-1
48,-4.880426,-4.8027134,1
49,-5.601453,-4.6367507,-1
50,-5.0502295,-4.5952773,1
51,-4.7540345,-4.6945014,1
52,-4.8344846,-4.839224,1
53,-5.1827087,-4.9019423,1
54,-4.6204686,-4.741699,-1
55,-5.0910945,-4.82299,1
56,-5.1700683,-4.80496,1
57,-4.906537,-4.826192,1
58,-5.3134594,-4.512563,-1
59,-5.5194273,-4.488511,-1
60,-4.9635983,-4.850325,1
61,-4.5693007,-4.820594,-1
62,-4.62662,-4.73198,1
63,-4.4859295,-4.809381,-1
64,-5.24672,-4.547396,-1
65,-5.179409,-4.480008,-1
66,-4.65667,-4.910958,1
67,-4.736409,-4.837942,-1
68,-5.3106117,-4.653434,-1
69,-4.323835,-4.799011,-1
70,-5.029827,-4.743901,-1
71,-5.181154,-4.736899,1
72,-5.105317,-4.737038,1
73,-5.4015355,-4.530422,-1
74,-5.0175557,-4.790286,1
75,-5.2919993,-4.7677865,1
76,-5.1320796,-4.659843,-1
77,-4.9502344,-4.7969203,1
78,-4.665325,-4.7177467,-1
79,-5.3522925,-4.7315507,1
80,-5.0913806,-4.573611,-1
81,-5.2244725,-4.719155,1
82,-4.832935,-4.814651,1
83,-4.977216,-4.8198786,1
84,-4.8111672,-4.865473,-1
85,-5.078594,-4.995423,1
86,-5.615649,-4.6355815,-1
87,-4.3193727,-4.7777743,-1
88,-4.8684998,-4.7898197,-1
89,-4.6610694,-4.7580824,1
90,-4.7425284,-4.7645597,1
91,-5.0496325,-4.7376833,-1
92,-5.001326,-4.6444197,1
93,-5.0674186,-4.780507,-1
94,-5.1654124,-4.5051637,1
95,-4.9089746,-4.7977366,1
96,-4.709857,-4.842389,-1
97,-5.218754,-4.8439565,1
98,-5.188822,-4.799231,1
99,-4.6531653,-4.5131483,1
100,-5.69972,-4.5416236,-1
101,-4.9833555,-4.844007,1
102,-5.274892,-4.375945,1
103,-4.8717012,-4.7612243,-1
104,-3.6176236,-4.8643928,-1
105,-5.4035997,-4.5607567,-1
106,-4.8839216,-4.6450925,1
107,-4.6133223,-4.823074,-1
108,-5.036396,-4.7972894,1
109,-4.813787,-4.7275434,1
110,-5.4403124,-4.7561502,-1
111,-5.1680555,-4.7281275,1
112,-5.242087,-4.750761,-1
113,-4.830413,-4.654032,-1
114,-5.0366054,-4.7630887,-1
