SampleID,score_XY,score_YX,labels
pair1,-4.3565536,-3.6680665,-1.0
pair2,-4.240048,-3.3295524,-1.0
pair3,-4.8961005,-3.2724931,-1.0
pair4,-4.894429,-3.5557504,-1.0
pair5,-4.5724244,-2.7436721,-1.0
pair6,-4.2191687,-2.6840582,-1.0
pair7,-4.554044,-2.7406585,-1.0
pair8,-4.1538053,-2.6602187,-1.0
pair9,-4.416882,-2.7286413,-1.0
pair10,-4.4515705,-2.745255,-1.0
pair11,-4.4228764,-2.7297165,-1.0
pair12,-3.5693066,-3.1081836,-1.0
pair13,-4.7315764,-2.9686496,-1.0
pair14,-4.595224,-2.9106247,-1.0
pair15,-4.6278696,-3.0403104,-1.0
pair16,-4.6730113,-2.3778112,-1.0
pair17,-2.1925015,-2.8170683,-1.0
pair18,-4.562793,-3.9792507,-1.0
pair19,-5.0242953,-3.6144793,-1.0
pair20,-4.8056216,-3.0921695,-1.0
pair21,-4.6361465,-3.2716901,-1.0
pair22,-4.7975526,-3.7595634,-1.0
pair23,-4.3191457,-3.5312412,-1.0
pair24,-4.6308813,-3.6796603,-1.0
pair25,-3.2845275,-2.7538145,-1.0
pair26,-3.590958,-3.5818765,-1.0
pair27,-3.8596156,-3.8936973,-1.0
pair28,-3.5133994,-3.0158937,-1.0
pair29,-3.539572,-3.1776698,-1.0
pair30,-3.6272745,-3.043357,-1.0
pair31,-3.4311209,-2.7704082,-1.0
pair32,-3.0592449,-1.302692,-1.0
pair33,-5.192987,-4.4234853,-1.0
pair34,-5.106311,-4.429677,-1.0
pair35,-4.8333178,-4.276586,-1.0
pair36,-5.232432,-4.3439217,-1.0
pair37,-4.8079515,-4.263947,-1.0
pair38,-4.479644,-3.1278791,-1.0
pair39,-3.5920036,-2.7961116,-1.0
pair40,-4.9315753,-3.1857727,-1.0
pair41,-4.2451406,-3.0755498,-1.0
pair42,-4.906458,-3.4243305,-1.0
pair43,-4.0081687,-3.0073972,-1.0
pair44,-6.583445,-4.7565174,-1.0
pair45,-6.092444,-4.4709945,-1.0
pair46,-6.513772,-4.357135,-1.0
pair47,-4.8813424,-3.7897832,-1.0
pair48,-5.0228844,-3.992693,-1.0
pair49,-3.8399613,-2.406463,-1.0
pair50,-3.0414412,-2.36144,1.0
pair51,-3.4629679,-2.6730185,1.0
pair52,-4.764561,-3.5591304,1.0
pair53,-4.76274,-3.5252974,1.0
pair54,-4.7419467,-3.4128895,1.0
pair55,-4.748779,-3.4046168,1.0
pair56,-4.7881875,-3.507851,1.0
pair57,-4.7868066,-3.4744396,1.0
pair58,-4.774094,-3.387761,1.0
pair59,-4.7377396,-3.3391545,1.0
pair60,-3.8405383,-2.97149,1.0
pair61,-2.5220346,-2.0823226,1.0
pair62,-2.9640703,-2.2939765,1.0
pair63,-2.919474,-2.1432977,1.0
pair64,-0.6799327,-1.0668609,1.0
pair65,-5.414611,-4.0093193,1.0
pair66,-4.7580066,-3.7257047,1.0
pair67,-5.316363,-5.252444,1.0
pair68,-3.2661679,-2.4716125,1.0
pair69,-3.3069184,-3.075631,1.0
pair70,-3.6586616,-2.9261317,1.0
pair71,-2.9497073,-2.3047502,1.0
pair72,-4.4582233,-3.4043899,1.0
pair73,-5.205993,-5.109621,1.0
pair74,-5.0568542,-4.3745522,1.0
pair75,-5.37808,-5.1539774,1.0
pair76,-2.969458,-2.1236444,1.0
pair77,-3.1705024,-2.488103,1.0
pair78,-3.4289799,-2.2102551,1.0
pair79,-3.697927,-2.823984,1.0
pair80,-5.04695,-3.8806663,1.0
pair81,-4.602393,-2.8298423,1.0
pair82,-4.235791,-2.5399764,1.0
pair83,-4.669555,-3.2907357,1.0
pair84,-2.5866373,-2.0848157,1.0
pair85,-2.9757597,-2.501457,1.0
pair86,-1.9830455,-1.757439,1.0
pair87,-1.582338,-1.7623562,1.0
pair88,-5.7983522,-4.4693437,1.0
pair89,-4.7964416,-2.551503,1.0
pair90,-4.84678,-2.9644191,1.0
pair91,-2.9183617,-2.6650102,1.0
pair92,-3.534784,-2.9733913,1.0
pair93,-1.0755252,-1.0945876,1.0
pair94,-4.3228526,-3.33639,1.0
pair95,-4.3718276,-3.5094001,1.0
pair96,-5.021238,-3.4502296,1.0
pair97,-3.1137528,-2.7892988,1.0
pair98,-2.3028135,-2.5085387,1.0
pair99,-2.7393618,-3.138655,1.0
