SampleID,score_XY,score_YX,labels
0,0.0006731842054352306,0.01306624323457032,1
1,0.0003801695736069888,0.010889045926516483,1
2,0.021980096830233487,0.0008633656287321934,-1
3,0.02422323636198642,0.0004560864896834092,-1
4,0.012001991167920261,0.0005713111926238701,-1
5,0.002151031954567745,0.011881452658097806,1
6,9.432655259089167e-05,0.011406667527866805,1
7,0.02994611619642186,0.0008520839415850421,-1
8,0.025124064745217636,0.0015497787958781296,-1
9,0.0017469639226701719,0.010993519444429084,1
10,0.0007699932601242139,0.021396481956139447,1
11,0.008825348354257035,0.0008484629966075736,-1
12,0.025238414468436488,0.0011917220327264,-1
13,0.015005083119206853,0.00030026209502192737,-1
14,0.01210733180713977,0.0007446742476869126,-1
15,0.0003159143189619002,0.024411386974819246,1
16,0.014067319588880153,0.0007126389978074414,-1
17,0.0008691994786486322,0.021843880388698212,1
18,0.015827946571838083,0.0016600145705733826,-1
19,0.00985533342554906,0.001152635792442597,-1
20,0.00018792893348029468,0.01600766598408814,1
21,0.021200581170166502,0.0002558846424777543,-1
22,0.011529414774724751,0.0003815278394740382,-1
23,0.012289617399375712,0.001030165267304898,-1
24,0.0002539451391001361,0.011755657990112479,1
25,0.0004264214183691509,0.013507887887794718,1
26,0.03053207938128885,0.0006394041518616836,-1
27,0.0003133554060669982,0.012896020129259035,1
28,0.0006460507683892242,0.010361550496647746,1
29,0.023068774594865633,0.00024580090034403675,-1
30,0.0003626625582054144,0.014999618865627423,1
31,0.029080578534767455,0.000893496476031848,-1
32,0.016659393159031925,0.0010979348415941603,-1
33,0.020031980686080007,0.0017688178338837943,-1
34,0.018413105201649217,0.0010344932051761443,-1
35,0.014831319320843708,0.0004108951294888052,-1
36,0.012779970920453165,0.0018391529278353935,-1
37,0.00034258789205499025,0.015241954437400633,1
38,0.0005808798901744142,0.015182478961391115,1
39,0.022380125269550803,0.0013582936763151623,-1
40,0.024504208373537832,0.0005415273145886493,-1
41,0.010882608978275182,0.0005397320155587988,-1
42,0.02495007034918102,0.0007842413267850756,-1
43,0.02944032477482867,0.0008995843830371557,-1
44,0.0014064735788348283,0.013999380484594263,1
45,0.01153322134944667,0.00014506711087671162,-1
46,0.015295091245686416,0.00047873993624901755,-1
47,0.015086396251569158,0.0007215284641010137,-1
48,0.001240933285050017,0.01522711140558014,1
49,0.022351278503529984,0.00024364815344367222,-1
50,0.00022049941415143784,0.013175256679827654,1
