SampleID,score_XY,score_YX,labels
0,-0.003375953296199441,-0.0030400780960917473,1
1,-0.0006654891767539084,-0.0006655369070358574,-1
2,-0.002199633978307247,-0.0017223288305103779,1
3,-0.004233232233673334,-0.002893022494390607,1
4,-0.006036179605871439,-0.000809063611086458,1
5,-0.0021463115699589252,-0.003067957004532218,-1
6,-0.0033054803498089314,-0.0015011687064543366,-1
7,-0.0023092536721378565,-0.0018390158656984568,1
8,-0.003507857443764806,-0.002725268481299281,-1
9,-0.007472815457731485,-0.002305076690390706,1
10,-0.005578215699642897,-0.0032099399250000715,1
11,-0.0010525690158829093,-0.0027825389988720417,-1
12,-0.002793776337057352,-0.0015467049088329077,-1
13,-0.004970620386302471,-0.0023284312337636948,1
14,-0.007018935400992632,-0.00190664769615978,-1
15,-0.0008425447740592062,-0.002494487212970853,-1
16,-0.009671811945736408,-0.0019295514794066548,-1
17,-0.004697943571954966,-0.0036719106137752533,1
18,-0.0031643749680370092,-0.005089944694191217,1
19,-0.00613397266715765,-0.0008390997536480427,1
20,-0.005118547473102808,-0.005018784198909998,1
21,-0.004709901288151741,-0.0032968090381473303,1
22,-0.003574252827093005,-0.0034251294564455748,1
23,-0.006548640318214893,-0.0035827818792313337,-1
24,-0.012197865173220634,-0.0018212628783658147,-1
25,-0.0017162519507110119,-0.0032693413086235523,1
26,-0.004998109769076109,-0.005862283054739237,1
27,-0.006805841811001301,-0.003581368364393711,-1
28,-0.003521691309288144,-0.0018254256574437022,1
29,-0.0030346137937158346,-0.003030989784747362,-1
30,-0.005708623211830854,-0.00210587284527719,-1
31,-0.0018341740360483527,-0.0029394037555903196,1
32,-0.0006161814089864492,-0.00036289746640250087,1
33,-0.0045008123852312565,-0.0026522453408688307,1
34,-0.003089056583121419,-0.0037696477957069874,1
35,-0.007600295823067427,-0.003949551377445459,-1
36,-0.0032433215528726578,-0.0030880537815392017,1
37,-0.004014116246253252,-0.0015733710024505854,1
38,-0.0031623251270502806,-0.0016122363740578294,-1
39,-0.0019718739204108715,-0.0007388764643110335,1
40,-0.0074602640233933926,-0.002019567647948861,1
41,-0.003057838650420308,-0.0021801290567964315,1
42,-0.0018218675395473838,-0.003497180063277483,1
43,-0.007053447421640158,-0.001834134222008288,-1
44,-0.0044858879409730434,-0.003860474331304431,1
45,-0.002579541876912117,-0.001518421107903123,-1
46,-0.006653342396020889,-0.0009286205749958754,1
47,-0.006989337969571352,-0.0022714727092534304,1
48,-0.0049060555174946785,-0.0012348745949566364,-1
49,-0.006675808224827051,-0.0030825999565422535,-1
50,-0.005043665412813425,-0.0013605732237920165,-1
51,-0.005567958112806082,-0.0025648996233940125,-1
52,-0.00494043342769146,-0.0024691689759492874,1
53,-0.004888938274234533,-0.004419957287609577,1
54,-0.005972319282591343,-0.0026348240207880735,-1
55,-0.0032860988285392523,-0.003716896055266261,-1
56,-0.0017274966230615973,-0.002868104027584195,1
57,-0.003954601474106312,-0.001422168337740004,-1
58,-0.004588236100971699,-0.00590877328068018,-1
59,-0.00655130110681057,-0.002189116319641471,-1
60,-0.0057107312604784966,-0.0036193570122122765,-1
61,-0.0054768784902989864,-0.0020722122862935066,-1
62,-0.0010761148296296597,-0.0014223342295736074,-1
63,-0.007989397272467613,-0.0017857885686680675,-1
64,-0.003792770439758897,-0.00557073624804616,1
65,-0.0101413419470191,-0.0027379614766687155,-1
66,-0.004424013663083315,-0.0028642669785767794,1
67,-0.004300255794078112,-0.0023080608807504177,-1
68,-0.005436935927718878,-0.0015914206160232425,-1
69,-0.004325417801737785,-0.002865648129954934,-1
70,-0.0017409464344382286,-0.002579209627583623,1
71,-0.006835615262389183,-0.0013128782156854868,-1
72,-0.0058617983013391495,-0.002856865990906954,1
73,-0.0038766765501350164,-0.000981094897724688,1
74,-0.008246323093771935,-0.002672338392585516,-1
75,-0.004938495811074972,-0.002639432903379202,1
76,-0.005077673587948084,-0.004024116322398186,1
77,-0.005775399971753359,-0.0010293466039001942,-1
78,-0.006443600635975599,-0.0012209184933453798,-1
79,-0.003394033294171095,-0.0017914439085870981,-1
80,-0.0023594279773533344,-0.0010238327085971832,1
81,-0.004437042400240898,-0.0022033106070011854,1
82,-0.0027028562035411596,-0.0021259263157844543,1
83,-0.0032271710224449635,-0.0013849107781425118,1
84,-0.003351545426994562,-0.0028490452095866203,-1
85,-0.005614589434117079,-0.003878767369315028,1
86,-0.005235770717263222,-0.0014342475915327668,-1
87,-0.0007473956211470068,-0.0026036552153527737,1
88,-0.0035021628718823195,-0.001226441701874137,1
89,-0.003602671669796109,-0.001240859623067081,1
90,-0.0035743233747780323,-0.001099021639674902,1
91,-0.0023027725983411074,-0.0019299857085570693,-1
92,-0.005779360421001911,-0.0021772761829197407,1
93,-0.0068192980252206326,-0.003195516299456358,-1
94,-0.003368675708770752,-0.002459682524204254,1
95,-0.0024054809473454952,-0.001505690161138773,1
96,-0.004392731003463268,-0.0023909586016088724,-1
97,-0.005120232235640287,-0.00391562981531024,1
98,-0.0027136974968016148,-0.0009157763561233878,1
99,-0.007428380660712719,-0.0044595180079340935,1
