SampleID,score_XY,score_YX,labels
0,-0.001212431932799518,-0.0022847324144095182,1
1,-0.006112334784120321,-0.0030696606263518333,-1
2,-0.009555735625326633,-0.0030003865249454975,-1
3,-0.0009577983291819692,-0.00194601493421942,1
4,-0.007887249812483788,-0.0012151154223829508,-1
5,-0.006531438324600458,-0.0032185751479119062,1
6,-0.002849861513823271,-0.0014758850447833538,-1
7,-0.0007312169764190912,-0.0028163730166852474,1
8,-0.003413697937503457,-0.003277619369328022,-1
9,-0.0015625756932422519,-0.0027048927731812,1
10,-0.004295224789530039,-0.0032893354073166847,-1
11,-0.0006146258674561977,-0.0024292657617479563,1
12,-0.0012364425929263234,-0.0005373520543798804,1
13,-0.002917230362072587,-5.7414530601818115e-05,-1
14,-0.0015929160872474313,-0.0028293023351579905,-1
15,-0.005963746923953295,-0.0030674187000840902,-1
16,-0.000869844458065927,-0.002283487468957901,-1
17,-0.0035700586158782244,-0.004976081661880016,-1
18,-0.0037236465141177177,-0.0026448096614331007,1
19,-0.004699750803411007,-0.0017567186150699854,1
20,-0.003521059174090624,-0.0017430837033316493,-1
21,-0.0026013299357146025,-0.0035007866099476814,1
22,-0.004030036274343729,-0.003256638767197728,1
23,-0.0013750909129157662,-0.0029500366654247046,1
24,-0.0021626900415867567,-0.0018275310285389423,-1
25,-0.0054165818728506565,-0.0024303190875798464,-1
26,-0.0017252619145438075,-0.0010199061362072825,1
27,-0.004278712440282106,-0.0032019594218581915,-1
28,-0.0007971348823048174,-0.0006859687273390591,-1
29,-0.0009899678407236934,-0.0006322615081444383,1
30,-0.0016994505422189832,-0.002043083542957902,1
31,-0.0012619612971320748,-0.003088441677391529,1
32,-0.0001828070671763271,-0.004229259677231312,-1
33,-0.000642811122816056,-0.0007957103662192822,1
34,-0.0009069892694242299,-0.0014362703077495098,-1
35,-0.001156134414486587,-0.0012289596488699317,-1
36,-0.0055828699842095375,-0.0040214103646576405,-1
37,-0.0007193837664090097,-0.0034155785106122494,1
38,-0.0009823428699746728,-0.0036066612228751183,1
39,-0.0026585478335618973,-0.0013750169891864061,-1
40,-0.0024518491700291634,-0.0016597199719399214,-1
41,-0.005546905566006899,-0.004251532722264528,-1
42,-0.0011807080591097474,-0.0065608243457973,-1
43,-0.0014787135878577828,-0.003350706771016121,-1
44,-0.0019011098193004727,-0.0001684043963905424,1
45,-0.0026358950417488813,-0.0035556477960199118,1
46,-0.0019961486104875803,-0.0047974130138754845,-1
47,-0.002640447346493602,-0.003020277712494135,1
48,-0.003774303011596203,-0.0015050132060423493,1
49,-0.003084186464548111,-0.0036299300845712423,-1
50,-0.004828433506190777,-0.0025303373113274574,-1
51,-0.0013328319182619452,-0.002388246823102236,1
52,-0.003489475464448333,-0.002861828077584505,-1
53,-0.0011315965093672276,-0.0013602779945358634,1
54,-0.001357079017907381,-0.0026461007073521614,1
55,-0.0013388891238719225,-0.002341007348150015,-1
56,-0.001614639419130981,-0.001528409542515874,1
57,-0.0027531497180461884,-0.000657042721286416,1
58,-0.005945431999862194,-0.004092408809810877,-1
59,-0.0008298798929899931,-0.0012394877849146724,1
60,-0.001084930612705648,-0.0011834296165034175,-1
61,-0.002680485602468252,-0.0014759186888113618,-1
62,-0.0072437166236341,-0.00010047572141047567,-1
63,-0.003902330296114087,-0.0035827469546347857,-1
64,-0.004713974427431822,-0.0010982287349179387,-1
65,-0.004068304784595966,-0.0028158247005194426,-1
66,-0.0015492199454456568,-0.0021253435406833887,1
67,-0.0015967112267389894,-0.0020371221471577883,1
68,-0.003195280907675624,-0.003159800311550498,-1
69,-0.0007746561896055937,-0.001382612157613039,1
70,-0.0024717943742871284,-0.003609774401411414,1
71,-0.0010697873076424003,-0.0021268967539072037,1
72,-0.0021276422776281834,-0.001248526619747281,1
73,-0.0015086905332282186,-2.3579405024065636e-05,-1
74,-0.0032332674600183964,-0.002447906183078885,-1
75,-0.0036233291029930115,-0.002110555302351713,-1
76,-0.009025251492857933,-0.004025384318083525,-1
77,-0.002459463896229863,-0.001382766873575747,-1
78,-0.0016289888881146908,-0.0012204042868688703,1
79,-0.0010217966046184301,-0.0016872637206688523,1
80,-0.002661410951986909,-0.004490870516747236,-1
81,-0.005824352148920298,-0.0029013813473284245,-1
82,-0.0026331357657909393,-0.004486541263759136,-1
83,-0.0006942464970052242,-0.0024098411668092012,1
84,-0.0032419716008007526,-0.0032416011672466993,-1
85,-0.0005022056284360588,-0.0005711864214390516,1
86,-0.003252717200666666,-0.004264079499989748,1
87,-0.0017538986867293715,-0.0016577783972024918,1
88,-0.0033865103032439947,-0.004174813162535429,1
89,-0.0023044487461447716,-0.0019399592420086265,-1
90,-0.000928256195038557,-0.001117515261285007,1
91,-0.0007180406246334314,-0.002991943620145321,1
92,-0.0019101455109193921,-0.004292283207178116,-1
93,-0.0006542917690239847,-0.000778544635977596,1
94,-0.0011265657376497984,-0.0021571547258645296,1
95,-0.002294976031407714,-0.005012872163206339,1
96,-0.0028065815567970276,-0.003844490274786949,-1
97,-0.0003437426348682493,-0.0009887641062960029,1
98,-0.003008025698363781,-0.0038161687552928925,-1
99,-0.0011274149874225259,-0.0016232844209298491,1
