SampleID,score_XY,score_YX,labels
0,-1.2629670891328715e-05,-0.00046188049600459635,1
1,-0.0001417625608155504,-0.0006646402762271464,1
2,-0.0004174312634859234,-0.0003548896056599915,1
3,-0.002691934583708644,-0.00096582539845258,-1
4,-0.002931839320808649,-0.0017000272637233138,-1
5,-0.004397238604724407,-0.0003498965816106647,-1
6,-0.00141857226844877,-0.0004904181114397943,-1
7,-0.002359207486733794,-0.0017103771679103374,-1
8,-0.0007743295864202082,-0.0018938633147627115,1
9,-0.003278164193034172,-0.000960790435783565,-1
10,-0.0014528600731864572,-0.0009086075588129461,-1
11,-0.00044107873691245914,-0.0004513118474278599,1
12,-0.0009874271927401423,-0.0016653093043714762,-1
13,-3.551628833520226e-05,-0.0005083943251520395,1
14,-0.00014339564950205386,-0.0009995040018111467,1
15,-5.073263309895992e-05,-0.0005853758193552494,1
16,-0.000264551053987816,-0.0006980244070291519,1
17,-0.00525381974875927,-0.0010116584599018097,-1
18,-0.0002580533910077065,-0.0008917558589018881,1
19,-0.0009253775933757424,-0.0014362471411004663,-1
20,-0.0008253863779827952,-0.000772161060012877,-1
21,-0.0014781529316678643,-0.0007370201637968421,-1
22,-0.0003411200304981321,-0.0001448357943445444,1
23,-0.0024644513614475727,-0.004189832601696253,-1
24,-0.000582085398491472,-0.00024461012799292803,1
25,-0.005504840984940529,-0.004478070884943008,-1
26,-0.003271405817940831,-0.0012227328261360526,-1
27,-0.0003300280368421227,-0.0001904832461150363,1
28,-0.0019592451862990856,-0.0006369408802129328,-1
29,-0.0032813777215778828,-0.0009325825958512723,-1
30,-0.00012284416879992932,-0.0009900376899167895,1
31,-0.00038350652903318405,-2.232663973700255e-05,1
32,-0.00043462440953589976,-0.000332448398694396,1
33,-0.00014291629486251622,-0.00016600072558503598,1
34,-0.0004379980091471225,-0.00037185446126386523,1
35,-0.0019801275338977575,-0.0017796526663005352,-1
36,-0.00016744789900258183,-0.0005435360362753272,1
37,-0.0013069618726149201,-0.00044966625864617527,1
38,-0.003880094736814499,-0.000845812086481601,-1
39,-0.0003195882309228182,-0.0003315380890853703,1
40,-0.004133765120059252,-0.003267119638621807,-1
41,-0.0003106257354374975,-0.0011053032940253615,1
42,-0.0008027111762203276,-0.0007928598206490278,-1
43,-0.0014097848907113075,-0.00013614185445476323,1
44,-0.0019334586104378104,-0.0008669938542880118,1
45,-0.00373915396630764,-0.0008256420842371881,-1
46,-0.0015821452252566814,-0.0023759121540933847,-1
47,-0.0027410162147134542,-0.001517876167781651,-1
48,-0.003713305341079831,-0.00042871717596426606,-1
49,-0.003894080640748143,-0.00042595452396199107,-1
50,-0.0002840996312443167,-0.0009445622563362122,1
51,-0.0016289082122966647,-0.002213974017649889,-1
52,-0.00014864947297610343,-0.0010405916254967451,1
53,-0.0026435682084411383,-0.0018760644597932696,-1
54,-0.00075848976848647,-0.0009637583862058818,1
55,-0.004962585400789976,-0.0013361790915951133,-1
56,-0.00010749907232820988,-0.00046365964226424694,1
57,-0.001967386109754443,-0.0008335220045410097,-1
58,-0.0003044675977434963,-0.0020715335849672556,1
59,-0.0031726581510156393,-0.0012758761877194047,-1
60,-0.004800628405064344,-0.001223055412992835,-1
61,-0.00016463678912259638,-0.000988614629022777,1
62,-0.0029576572123914957,-0.0006337540689855814,-1
63,-0.0023450576700270176,-0.0024910143110901117,-1
64,-0.0003441726148594171,-0.0005035780486650765,1
65,-0.0006408941699191928,-0.0009476616396568716,1
66,-0.00010956536425510421,-0.0010618169326335192,1
67,-0.0039842939004302025,-0.0017385348910465837,-1
68,-0.002192540094256401,-0.0011198132997378707,-1
69,-0.00021369171736296266,-0.000452766427770257,1
70,-0.0021457199472934008,-0.0016813258407637477,-1
71,-0.0005374944303184748,-0.0013828781666234136,1
72,-0.0015250416472554207,-0.0011581659782677889,-1
73,-0.0033386782743036747,-0.0010190176544710994,-1
74,-0.00021156776347197592,-0.0010560896480455995,1
75,-0.0007886520470492542,-0.00038917749770917,1
76,-0.00040673688636161387,-0.0006729835877195001,1
77,-0.005318491719663143,-0.0008664976339787245,-1
78,-0.0025253354106098413,-0.0005888267769478261,-1
79,-0.0007130998419597745,-0.0006489146617241204,1
80,-0.000842047855257988,-0.00047280066064558923,1
81,-0.005531854461878538,-0.0022483807988464832,-1
82,-0.0026046091224998236,-0.0018351591425016522,-1
83,-0.0015007535694167018,-0.0005135622341185808,1
84,-0.00013318215496838093,-0.0006363632855936885,1
85,-0.005568013992160559,-0.001045717392116785,-1
86,-0.004902021028101444,-0.0015237798215821385,-1
87,-0.001225150772370398,-0.0004104838881175965,1
88,-0.002109351335093379,-0.0022351534571498632,-1
89,-0.006050496362149715,-0.0011532504577189684,-1
90,-0.0032569956965744495,-0.0007501592044718564,-1
91,-0.00018232653383165598,-0.001897562062367797,1
92,-0.0022720207925885916,-0.00044048033305443823,1
93,-0.00012058857828378677,-0.0006714317132718861,1
94,-0.002278326079249382,-0.0008068914758041501,-1
95,-0.0018831725465133786,-0.000970350403804332,1
96,-0.00045780130312778056,-0.00012440592399798334,1
97,-0.003565691178664565,-0.0005318787880241871,-1
98,-0.003079060697928071,-0.00039573441608808935,-1
99,-0.00036121977609582245,-0.0007800457533448935,1
