SampleID,score_XY,score_YX,labels
0,-0.0007683628937229514,-0.0025787032209336758,1
1,-0.009061467833817005,-0.0030597306322306395,-1
2,-0.003899399423971772,-0.001640950096771121,-1
3,-0.005082554649561644,-0.0037508958484977484,1
4,-0.0014335180167108774,-0.002534241648390889,1
5,-0.0030013560317456722,-0.004091427195817232,1
6,-0.002407500986009836,-0.0036501914728432894,-1
7,-0.0016137497732415795,-0.0037206721026450396,-1
8,-0.0021861388813704252,-0.005148440133780241,1
9,-0.003759311279281974,-0.002429596148431301,1
10,-0.0033873184584081173,-0.002643176121637225,-1
11,-0.0030627793166786432,-0.0033492487855255604,-1
12,-0.0031123061198741198,-0.0057780384086072445,1
13,-0.0029263535980135202,-0.001247775973752141,-1
14,-0.0025691038463264704,-0.0022537880577147007,-1
15,-0.0015153578715398908,-0.0016845876816660166,-1
16,-0.0005709925899282098,-0.005446844268590212,1
17,-0.00241410406306386,-0.001934673055075109,-1
18,-0.0012202279176563025,-0.0018314183689653873,-1
19,-0.0032084775157272816,-0.0027336953207850456,1
20,-0.00262802024371922,-0.0021148596424609423,-1
21,-0.001719549298286438,-0.0020308939274400473,-1
22,-0.003394542494788766,-0.00160578906070441,-1
23,-0.0036851707845926285,-0.003146449103951454,1
24,-0.0025995669420808554,-0.0069398111663758755,1
25,-0.0019002488115802407,-0.0027073894161731005,-1
26,-0.0010100897634401917,-0.005397194065153599,1
27,-0.007342335768043995,-0.002449867781251669,1
28,-0.001978173851966858,-0.005604803562164307,-1
29,-0.0025599508080631495,-0.004390032030642033,1
30,-0.003337590955197811,-0.0017268246738240123,-1
31,-0.0012323642149567604,-0.0014773550210520625,-1
32,-0.0029095655772835016,-0.002313843695446849,-1
33,-0.002407046966254711,-0.0017652446404099464,-1
34,-0.002746088895946741,-0.0004968855646438897,-1
35,-0.0040785470046103,-0.0015470240032300353,-1
36,-0.00020511266484390944,-7.402829942293465e-05,-1
37,-0.0002354570315219462,-0.002938932506367564,1
38,-0.006278770510107279,-0.00195290707051754,-1
39,-0.00283406232483685,-0.004398984368890524,-1
40,-0.002067476511001587,-0.001074276864528656,-1
41,-0.007000971585512161,-0.003759935963898897,-1
42,-0.0036065096501260996,-0.0014154741074889898,-1
43,-0.0020132476929575205,-0.005366369616240263,1
44,-0.0031716765370219946,-0.0025307016912847757,-1
45,-0.0028617156203836203,-0.006633110344409943,1
46,-0.0007361627067439258,-0.0005750221316702664,-1
47,-8.048367453739047e-05,-0.00015438013360835612,1
48,-0.005327792838215828,-0.005008528009057045,-1
49,-0.005043628625571728,-0.005858146585524082,1
50,-0.0008726473897695541,-0.0020908270962536335,1
51,-0.004576480016112328,-0.005320772062987089,1
52,-0.007133781909942627,-0.003082449547946453,1
53,-0.0010840360773727298,-0.0015510356752201915,-1
54,-0.0038258391432464123,-0.002579445019364357,1
55,-0.002998066833242774,-0.004697984084486961,1
56,-0.0004122788377571851,-0.005122695118188858,1
57,-0.0019941325299441814,-0.004285904113203287,-1
58,-0.002303840359672904,-0.0015146557707339525,-1
59,-0.003217818448320031,-0.0027241173665970564,1
60,-0.0025355357211083174,-0.0007091781008057296,-1
61,-0.001738954451866448,-0.0017674231203272939,1
62,-0.008397207595407963,-0.0019665220752358437,-1
63,-0.0017647194908931851,-0.004692627117037773,-1
64,-0.0016359187429770827,-0.004325861111283302,-1
65,-0.0008882792317308486,-0.004720716737210751,1
66,-0.0017057411605492234,-0.0025356514379382133,-1
67,-0.003085256787016988,-0.002074346411973238,-1
68,-0.002564972033724189,-0.0014671562239527702,-1
69,-0.007899012416601181,-0.0016102000372484326,-1
70,-0.0003879699215758592,-0.0048543126322329044,1
71,-0.002684823703020811,-0.00682710250839591,1
72,-0.0018632765859365463,-0.0050789057277143,-1
73,-0.003205698449164629,-0.005095234140753746,1
74,-0.002233868697658181,-0.0038113563787192106,1
75,-0.0014753639698028564,-0.002439396921545267,-1
76,-0.000555164588149637,-0.0008423118852078915,1
77,-0.0024420719128102064,-0.0012517360737547278,-1
78,-0.0016990072326734662,-0.001695812912657857,1
79,-0.003130626864731312,-0.001990034943446517,-1
80,-0.00395048875361681,-0.00254044565372169,1
81,-0.0008941066917032003,-0.003993633668869734,1
82,-0.0032340572215616703,-0.00603230157867074,1
83,-0.00190249877050519,-0.001607655081897974,-1
84,-0.007516246289014816,-0.0034840148873627186,1
85,-0.0021018923725932837,-0.005593989044427872,-1
86,-0.0015893637901172042,-0.002272741636261344,-1
87,-0.0031378690619021654,-0.001764281652867794,-1
88,-0.0010367570212110877,-0.0024428600445389748,1
89,-0.0005243416526354849,-0.0007245923625305295,1
90,-0.004344435874372721,-0.0013495535822585225,-1
91,-0.0032918897923082113,-0.004716864787042141,1
92,-0.0021128382068127394,-0.0023976468946784735,-1
93,-0.0028028872329741716,-0.003936453256756067,1
94,-0.0004739972355309874,-0.005161125212907791,1
95,-0.001531498390249908,-0.0024990879464894533,-1
96,-0.0007822040934115648,-0.004415449220687151,1
97,-0.000369697721907869,-0.004860417917370796,1
