SampleID,score_XY,score_YX,labels
0,-0.010001219809055328,-0.002230701269581914,-1
1,-0.007897617295384407,-0.0028244233690202236,1
2,-0.010052797384560108,-0.0011399216018617153,-1
3,-0.011786644347012043,-0.0019805515184998512,-1
4,-0.0037551706191152334,-0.0059287408366799355,1
5,-0.0018526280764490366,-0.007259155623614788,1
6,-0.004300132393836975,-0.0036667606327682734,1
7,-0.0077017201110720634,-0.00515548512339592,-1
8,-0.007236888166517019,-0.007274455390870571,-1
9,-0.003336505265906453,-0.004812202882021666,1
10,-0.007335126865655184,-0.002480223076418042,1
11,-0.013400053605437279,-0.001879017916508019,-1
12,-0.006236853543668985,-0.004646365065127611,-1
13,-0.0037641406524926424,-0.00457944069057703,1
14,-0.01132043544203043,-0.0031958199106156826,-1
15,-0.01246716734021902,-0.0021187940146774054,-1
16,-0.006914536003023386,-0.006009914446622133,-1
17,-0.003620951436460018,-0.007095517590641975,1
18,-0.012926574796438217,-0.0014847064157947898,-1
19,-0.007509466726332903,-0.004379349760711193,-1
20,-0.006841797381639481,-0.0037048032972961664,1
21,-0.00834971945732832,-0.0015384235884994268,-1
22,-0.00859829317778349,-0.006564881652593613,-1
23,-0.01267758198082447,-0.002092402894049883,-1
24,-0.007482320070266724,-0.004760816693305969,1
25,-0.0018485417822375894,-0.004720989614725113,1
26,-0.013736145570874214,-0.0018232049187645316,-1
27,-0.0051664127968251705,-0.003160866443067789,1
28,-0.007527993526309729,-0.005587907042354345,1
29,-0.007310654502362013,-0.00476318784058094,-1
30,-0.002323080785572529,-0.003405077150091529,1
31,-0.009386551566421986,-0.0015365710714831948,-1
32,-0.007198905572295189,-0.005616053473204374,-1
33,-0.005329173523932695,-0.000994439935311675,-1
34,-0.011959212832152843,-0.0011876651551574469,-1
35,-0.012176088988780975,-0.001938886707648635,-1
36,-0.011034645140171051,-0.0008873749757185578,-1
37,-0.007317384704947472,-0.00401664711534977,-1
38,-0.001662241411395371,-0.006877466570585966,1
39,-0.006044242065399885,-0.0010977606289088726,-1
40,-0.007308461237698793,-0.0058927168138325214,-1
41,-0.009724344126880169,-0.002447510836645961,-1
42,-0.007910247892141342,-0.0046844505704939365,-1
43,-0.01129162311553955,-0.001396372215822339,-1
44,-0.0010467807296663523,-0.003402065485715866,1
45,-0.008380516432225704,-0.0012802808778360486,-1
46,-0.0031502158381044865,-0.004573196172714233,1
47,-0.01300980243831873,-0.002145926235243678,-1
48,-0.0034917518496513367,-0.006587158888578415,1
49,-0.0066259088926017284,-0.005203377455472946,-1
50,-0.001191934454254806,-0.0037756196688860655,1
51,-0.001675217179581523,-0.002928005065768957,1
52,-0.0040140170603990555,-0.005474244710057974,1
53,-0.006310491822659969,-0.006710777059197426,1
54,-0.006281221751123667,-0.007317809388041496,-1
55,-0.007377815432846546,-0.002897178288549185,1
56,-0.001019455143250525,-0.00843953900039196,1
57,-0.0047088610008358955,-0.0055146911181509495,1
58,-0.007742442190647125,-0.004230576567351818,-1
59,-0.011843894608318806,-0.001084829680621624,-1
60,-0.004867656156420708,-0.005413515493273735,1
61,-0.012131763622164726,-0.0015492846723645926,-1
62,-0.00960928201675415,-0.0025327415205538273,1
63,-0.00853816233575344,-0.0018152822740375996,-1
64,-0.006616234313696623,-0.004439724143594503,-1
65,-0.006823062431067228,-0.0048891338519752026,-1
66,-0.006081167608499527,-0.017946070060133934,1
67,-0.004434393253177404,-0.006360773928463459,-1
68,-0.011383723467588425,-0.0017129554180428386,-1
69,-0.006811169907450676,-0.0017523352289572358,-1
70,-0.012100408785045147,-0.0024462551809847355,-1
71,-0.00421817135065794,-0.00578483147546649,1
72,-0.004878973588347435,-0.0027098918799310923,1
73,-0.007854096591472626,-0.00402236869558692,-1
74,-0.003926736768335104,-0.004371445160359144,1
75,-0.0014831451699137688,-0.008923199027776718,1
76,-0.010300667956471443,-0.0008496655500493944,-1
77,-0.0027711496222764254,-0.007128875702619553,1
78,-0.010815709829330444,-0.0024488335475325584,-1
79,-0.006928385701030493,-0.0027813564520329237,1
80,-0.009755298495292664,-0.000804752460680902,-1
81,-0.009782311506569386,-0.003463013330474496,1
82,-0.004338128492236137,-0.0041229515336453915,1
83,-0.004756993148475885,-0.008725950494408607,1
84,-0.01113481167703867,-0.002578380284830928,-1
85,-0.008277463726699352,-0.0051892767660319805,1
86,-0.006952121388167143,-0.005392678547650576,-1
87,-0.0061682178638875484,-0.00703321723267436,-1
88,-0.011845570057630539,-0.0019333757227286696,-1
