SampleID,score_XY,score_YX,labels
pair1,-0.00033020199043676257,-0.0003722090332303196,-1.0
pair2,-0.0006240381626412272,-0.0004166416765656322,-1.0
pair3,-0.00015715388872195035,-0.00023317210434470326,-1.0
pair4,-0.00031796208349987864,-3.5589626349974424e-05,-1.0
pair5,-0.003633449785411358,-0.0016885236836969852,-1.0
pair6,-0.0022400778252631426,-0.0006969088572077453,-1.0
pair7,-0.0034793757367879152,-0.0003179549821652472,-1.0
pair8,-0.003861281555145979,-0.0015112777473405004,-1.0
pair9,-0.0011204271577298641,-0.0014471847098320723,-1.0
pair10,-0.0027784910053014755,-0.0005675943684764206,-1.0
pair11,-8.416491618845612e-05,-0.002865447662770748,-1.0
pair12,-0.00013251225755084306,-5.2987117669545114e-05,-1.0
pair13,-0.001677840482443571,-0.0011717912275344133,-1.0
pair14,-0.0013732595834881067,-0.0014743678038939834,-1.0
pair15,-0.001088232034817338,-0.0014382846420630813,-1.0
pair16,-0.001244825660251081,-7.672677747905254e-05,-1.0
pair17,-6.940487219253555e-05,-0.00019592820899561048,-1.0
pair18,-0.00029431283473968506,-0.0019513198640197515,-1.0
pair19,-0.00013789671356789768,-0.0014756775926798582,-1.0
pair20,-0.0004830755933653563,-0.00030029742629267275,-1.0
pair21,-5.499690814758651e-05,-9.635853348299861e-05,-1.0
pair22,-0.00024116058193612844,-0.0025527349207550287,-1.0
pair23,-0.0015719459624961019,-0.0007666468154639006,-1.0
pair24,-0.0005757756880484521,-0.0008895850041881204,-1.0
pair25,-0.000323381187627092,-0.001300845411606133,-1.0
pair26,-0.00058097077999264,-0.0009891847148537636,-1.0
pair27,-0.00029108853777870536,-0.0019234290812164545,-1.0
pair28,-0.002563543152064085,-0.0010356969432905316,-1.0
pair29,-0.0006464808830060065,-0.0005457209190353751,-1.0
pair30,-0.0008676332654431462,-0.0009214759920723736,-1.0
pair31,-0.000743301585316658,-0.00023058900842443109,-1.0
pair32,-0.00132224231492728,-0.00022638883092440665,-1.0
pair33,-0.0002726043458096683,-0.00014598300913348794,-1.0
pair34,-0.00015424724551849067,-0.0005985916941426694,-1.0
pair35,-0.00023251485254149884,-0.0006831831415183842,-1.0
pair36,-0.0003594539302866906,-0.0004167312872596085,-1.0
pair37,-0.00028062041383236647,-0.0005368675920180976,-1.0
pair38,-0.0005642059841193259,-0.0007710508652962744,-1.0
pair39,-0.00022230128524824977,-0.0007385970093309879,-1.0
pair40,-0.0009042960009537637,-0.0007826444343663752,-1.0
pair41,-0.0005770775023847818,-0.0006545671494677663,-1.0
pair42,-0.00023898365907371044,-0.0005575384711846709,-1.0
pair43,-0.00088346260599792,-8.48336367198499e-06,-1.0
pair44,-0.004521870519965887,-0.002968614222481847,-1.0
pair45,-0.007116754539310932,-0.0025645012501627207,-1.0
pair46,-0.001694879145361483,-0.003036441747099161,-1.0
pair47,-4.602772605721839e-05,-0.004128213040530682,-1.0
pair48,-7.76197703089565e-05,-0.0013916330644860864,-1.0
pair49,-0.0004259791749063879,-0.00022710373741574585,-1.0
pair50,-0.0004987631109543145,-0.00016499109915457666,1.0
pair51,-0.00027247925754636526,-0.00012653699377551675,1.0
pair52,-0.0001759105798555538,-0.0004354047996457666,1.0
pair53,-0.000124370155390352,-0.0004758545255754143,1.0
