Method,Data,AUC,Acc
ANM,PNL_gaussian_noise,0.5609912686183873,0.566
ANM,PNL_laplace_noise,0.6025942641316177,0.56
ANM,PNL_uniform_noise,0.5497158863545418,0.544
ANM,PNL_GP,0.8271308523409363,0.81
ANM,LS,0.48779511804721887,0.52
ANM,AN,0.5383838383838384,0.48
PNL,PNL_gaussian_noise,0.9140504622496148,0.854
PNL,PNL_laplace_noise,0.684239165226298,0.662
PNL,PNL_uniform_noise,0.8864185674269708,0.79
PNL,PNL_GP,0.8571428571428572,0.75
PNL,LS,0.6782713085234093,0.69
PNL,AN,0.6658585858585858,0.48
CAREFL,PNL_gaussian_noise,0.45425654853620956,0.502
CAREFL,PNL_laplace_noise,0.5181326419563408,0.624
CAREFL,PNL_uniform_noise,0.47937575030012003,0.43
CAREFL,PNL_GP,0.13485394157663066,0.49
CAREFL,LS,0.4085634253701481,0.51
CAREFL,AN,0.6565656565656566,0.55
AbPNL,PNL_gaussian_noise,0.8542629686697483,0.528
AbPNL,PNL_laplace_noise,0.7923788489853403,0.508
AbPNL,PNL_uniform_noise,0.8960944377751101,0.51
AbPNL,PNL_GP,0.9009603841536615,0.51
AbPNL,LS,0.7553021208483394,0.51
AbPNL,AN,0.8246464646464646,0.45
RECI,PNL_gaussian_noise,0.8138161273754494,0.722
RECI,PNL_laplace_noise,0.8971576723641252,0.802
RECI,PNL_uniform_noise,0.3969907963185274,0.414
RECI,PNL_GP,0.8771508603441376,0.79
RECI,LS,0.849139655862345,0.78
RECI,AN,0.9187878787878788,0.82
LOCI,PNL_gaussian_noise,0.0,0.0
LOCI,PNL_laplace_noise,0.0,0.0
LOCI,PNL_uniform_noise,0.0,0.0
LOCI,PNL_GP,0.0,0.0
LOCI,LS,0.9703881552621049,0.93
LOCI,AN,1.0,1.0
CAFPoNo,PNL_gaussian_noise,0.9543528505392913,0.87
CAFPoNo,PNL_laplace_noise,0.9351353946610332,0.82
CAFPoNo,PNL_uniform_noise,0.9272989195678272,0.808
CAFPoNo,PNL_GP,0.9587835134053622,0.87
CAFPoNo,LS,0.8915566226490597,0.78
CAFPoNo,AN,0.9717171717171718,0.92
