,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,8,"[[0 0 0 0 0 0 1]
 [0 0 1 1 0 0 0]
 [0 0 0 0 0 0 1]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 1 1]
 [0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 1 0 0 1 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 1 0]]","[0, 6, 3, 1, 5, 2, 4]","[[0. 1. 1. 1. 1. 1. 1.]
 [0. 0. 1. 0. 1. 1. 0.]
 [0. 0. 0. 0. 1. 0. 0.]
 [0. 1. 1. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 1. 0. 0.]
 [0. 1. 1. 1. 1. 1. 0.]]",7,20.0,3,3,1,5,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
1,1,8,"[[0 0 0 1 1 1 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 1 0]
 [0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 1 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 1 0 1 1]
 [1 0 0 0 0 1 1]
 [1 0 0 0 0 0 0]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]","[1, 4, 2, 3, 6, 5, 0]","[[0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 1. 1.]
 [1. 0. 0. 1. 0. 1. 1.]
 [1. 0. 0. 0. 0. 1. 1.]
 [1. 0. 1. 1. 0. 1. 1.]
 [1. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0.]]",6,24.0,0,5,1,5,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
2,2,12,"[[0 1 0 1 0 0 1]
 [0 0 0 0 0 0 0]
 [1 0 0 0 0 1 1]
 [0 0 0 0 0 0 0]
 [1 1 0 1 0 1 0]
 [0 0 0 1 0 0 0]
 [0 1 0 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 1]
 [1 0 0 0 0 0 0]
 [1 0 0 1 0 0 0]
 [0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0]]","[2, 6, 1, 4, 3, 5, 0]","[[0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 1. 1. 0.]
 [1. 1. 0. 1. 1. 1. 1.]
 [1. 0. 0. 0. 0. 1. 0.]
 [1. 0. 0. 1. 0. 1. 0.]
 [1. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 1. 1. 0.]]",9,33.0,6,3,0,5,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
3,3,8,"[[0 0 1 0 0 0 0]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 0 0 0 0 1]
 [0 0 1 1 0 0 0]
 [1 0 0 0 0 1 0]]","[[0 0 0 0 0 0 1]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 1 0 0 0]
 [0 0 0 0 0 1 0]]","[1, 0, 6, 4, 5, 3, 2]","[[0. 0. 1. 1. 1. 1. 1.]
 [1. 0. 1. 1. 1. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 1. 0. 1. 0.]
 [0. 0. 1. 1. 0. 0. 0.]
 [0. 0. 1. 1. 1. 1. 0.]]",3,13.0,2,1,0,2,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
4,4,12,"[[0 1 1 0 0 1 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 1 1 0 0 1 0]
 [1 1 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [1 1 1 0 0 0 0]]","[[0 1 1 0 0 0 0]
 [0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 1 1 0 0 1 0]
 [1 1 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]]","[4, 0, 3, 1, 6, 5, 2]","[[0. 1. 1. 1. 0. 1. 1.]
 [0. 0. 1. 0. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 1. 0. 0. 1. 1.]
 [1. 1. 1. 1. 0. 1. 1.]
 [0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 1. 0.]]",4,17.0,3,1,0,2,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
5,5,9,"[[0 0 1 0 0 0 0]
 [0 0 1 0 0 0 1]
 [0 0 0 0 0 1 0]
 [1 0 1 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [1 0 1 0 0 0 0]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 1]
 [0 0 0 0 0 1 0]
 [0 0 1 0 0 0 0]
 [0 1 0 0 0 0 0]]","[3, 6, 1, 4, 5, 2, 0]","[[0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 1. 1. 0.]
 [1. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 1. 1. 1.]
 [1. 0. 1. 0. 0. 1. 0.]
 [1. 0. 1. 0. 0. 0. 0.]
 [1. 1. 1. 0. 1. 1. 0.]]",8,32.0,3,4,1,4,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
6,6,7,"[[0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0]
 [0 0 1 0 0 0 1]
 [0 1 1 0 0 0 0]
 [0 1 0 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [1 0 0 0 1 0 0]]","[5, 2, 3, 1, 6, 0, 4]","[[0. 0. 0. 0. 1. 0. 0.]
 [1. 0. 0. 0. 1. 0. 1.]
 [1. 1. 0. 1. 1. 0. 1.]
 [1. 1. 0. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 0. 1.]
 [1. 0. 0. 0. 1. 0. 0.]]",6,22.0,3,3,0,4,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
7,7,10,"[[0 1 0 0 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 1 1 0 0]
 [1 0 0 0 1 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 1 0 0 1 1 0]]","[[0 1 0 1 0 0 1]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]
 [0 0 0 0 1 1 0]
 [0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0]
 [0 1 0 0 1 1 0]]","[2, 0, 3, 6, 4, 5, 1]","[[0. 1. 0. 1. 1. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 1. 1. 1.]
 [0. 1. 0. 0. 1. 1. 1.]
 [0. 1. 0. 0. 0. 1. 0.]
 [0. 1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 1. 1. 0.]]",4,12.0,1,2,1,2,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
8,8,10,"[[0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0]
 [1 1 0 0 1 0 0]
 [1 1 0 0 0 0 0]
 [1 0 0 0 0 0 0]
 [1 1 0 0 0 0 0]
 [0 1 0 0 0 0 0]]","[[0 0 0 1 1 0 0]
 [1 0 1 0 0 0 1]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]]","[5, 1, 0, 3, 6, 2, 4]","[[0. 0. 1. 1. 1. 0. 1.]
 [1. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 1. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 0. 1.]
 [0. 0. 1. 0. 1. 0. 0.]]",8,33.0,4,4,0,6,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
9,9,8,"[[0 0 0 0 0 0 1]
 [0 0 0 1 0 0 1]
 [0 0 0 1 0 0 1]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 1]
 [0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0]
 [0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0]]","[1, 3, 5, 6, 4, 2, 0]","[[0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 1. 1.]
 [1. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 1. 1. 1.]
 [1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 1. 0. 1.]
 [1. 0. 1. 0. 1. 0. 0.]]",7,18.0,5,2,0,4,"Namespace(activation=<function leaky_relu at 0x152f14b80>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect3/trial0', l_seed=416300, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=300, n_layers=2, n_trials=1, n_units=64, num_variables=7, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
