,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,12,"[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 1 0 0 0]
 [0 0 1 0 0 0 0 0 0 0 1]
 [0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 0 0]
 [1 1 0 1 0 0 0 0 0 0 1]
 [1 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 1 0 0 0]
 [0 0 1 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]]","[9, 4, 8, 5, 3, 0, 10, 7, 6, 2, 1]","[[0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1.]
 [1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1.]
 [1. 1. 1. 1. 0. 0. 1. 1. 0. 0. 1.]
 [0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0.]
 [1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1.]
 [0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0.]]",5,16.0,4,1,0,3,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
1,1,14,"[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 1 0 0]
 [0 0 0 1 1 0 0 0 0 0 0]
 [1 0 0 0 0 1 1 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 1 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 1 0 0]
 [0 0 0 1 1 0 0 0 0 0 0]
 [1 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[2, 9, 4, 10, 3, 6, 1, 0, 8, 7, 5]","[[0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.]
 [1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0.]
 [1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0.]
 [0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1.]
 [1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0.]]",3,15.0,3,0,0,1,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
2,2,14,"[[0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 0 1 0]
 [0 0 1 0 0 0 0 0 1 1 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 0]
 [0 1 1 0 0 0 0 0 0 1 0]
 [0 1 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 1 0 0 0 0 0]]","[[0 0 0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0]]","[7, 10, 0, 4, 3, 8, 1, 6, 5, 2, 9]","[[0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.]
 [0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0.]
 [0. 1. 1. 1. 0. 1. 1. 0. 1. 1. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0.]
 [1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.]
 [0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.]]",10,22.0,9,0,1,1,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
3,3,13,"[[0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 1 1 1 1 0 0 0]
 [0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 1 0 1 0 0 0 0]
 [0 0 1 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 1 0 0]
 [0 0 0 0 0 1 0 0 0 0 0]]","[10, 3, 1, 9, 6, 4, 5, 2, 8, 0, 7]","[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0.]
 [1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
 [1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0.]
 [1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0.]
 [1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0.]
 [1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.]]",11,33.0,5,3,3,4,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
4,4,14,"[[0 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 1 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 0 0 0]
 [0 0 1 1 0 0 0 1 0 0 0]
 [0 0 1 0 0 0 0 1 0 0 0]]","[[0 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 1]
 [0 0 0 0 1 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 1 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[0, 9, 1, 2, 3, 7, 4, 5, 8, 6, 10]","[[0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1.]
 [0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.]
 [0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",6,31.0,3,3,0,6,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
5,5,13,"[[0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 1 0]
 [0 0 1 1 1 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 1 1 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 1 0 0 1 0]
 [0 0 1 1 0 0 0 0 0 0 1]
 [1 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 1 1 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[8, 5, 4, 6, 2, 3, 7, 0, 1, 10, 9]","[[0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]
 [1. 1. 0. 1. 0. 0. 0. 1. 0. 1. 1.]
 [1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1.]
 [1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 1.]
 [1. 1. 1. 1. 1. 0. 1. 1. 0. 1. 1.]
 [1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1.]
 [1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]]",6,28.0,3,1,2,1,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
6,6,14,"[[0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 1 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 1 0 0]
 [0 1 0 0 1 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 1 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0]
 [0 1 0 0 1 0 0 0 0 1 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]]","[3, 5, 9, 1, 10, 4, 0, 8, 6, 7, 2]","[[0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0.]
 [1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.]
 [1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0.]
 [1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1.]
 [0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0.]
 [1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1.]
 [1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0.]]",8,35.0,7,1,0,2,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
7,7,12,"[[0 0 1 0 1 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 0]
 [0 1 0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 1]
 [0 0 0 0 1 0 1 0 0 0 0]]","[[0 0 0 0 1 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0]
 [0 1 0 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0 0 1]
 [0 0 0 0 0 0 1 0 0 0 0]]","[0, 9, 3, 10, 7, 5, 1, 8, 6, 2, 4]","[[0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 1. 1. 0. 1. 1. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0.]
 [0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0.]
 [0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0.]
 [0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1.]
 [0. 1. 1. 0. 1. 1. 1. 1. 1. 0. 0.]]",7,27.0,4,1,2,2,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
8,8,14,"[[0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 1 0 0 1 0]
 [0 0 1 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 1 0 0 0 1 0 0]]","[[0 1 1 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 1 0]
 [1 0 1 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 0 1 0 0 0 1 0 0]]","[10, 3, 0, 7, 6, 2, 4, 8, 5, 1, 9]","[[0. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0.]
 [1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0.]
 [0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 1. 1. 0. 1. 1. 0. 0. 1. 1. 0.]
 [0. 1. 1. 0. 1. 1. 1. 0. 1. 1. 0.]
 [0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.]]",6,28.0,1,2,3,2,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
9,9,14,"[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 1 0 0 1 1 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0 0 0]
 [1 1 1 1 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 1 1 1]
 [0 1 0 0 0 0 1 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 1 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0 0 0]]","[7, 4, 2, 5, 3, 9, 10, 1, 6, 0, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0.]
 [1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1.]
 [1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1.]
 [1. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1.]
 [1. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1.]
 [1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1.]
 [1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0.]]",9,40.0,3,3,3,3,"Namespace(batch_size=128, epochs=300, model_Y={'model_name': 'CDFFlow', 'hidden_sizes': 64, 'base_dist': 'normal', 'k': 12}, n_jobs=4, num_variables=11, seed=100, train_ratio=0.6, verbose=False, weight_decay=0.0)"
