,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,15,"[[0 0 0 0 0 0 0 0 0]
 [0 0 0 1 1 1 0 0 1]
 [1 1 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 1 0 1 0 0 0]
 [0 0 1 1 0 1 0 0 0]
 [0 0 0 1 0 0 1 0 0]]","[[0 0 1 0 0 0 0 1 0]
 [1 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [1 0 1 0 0 1 0 0 0]
 [0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0]
 [0 0 0 1 1 0 0 0 1]
 [0 0 1 0 0 0 0 0 0]
 [0 1 0 0 1 0 0 0 0]]","[6, 8, 4, 1, 3, 0, 5, 7, 2]","[[0. 0. 1. 0. 0. 1. 0. 1. 0.]
 [1. 0. 1. 1. 0. 1. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 1. 0.]
 [1. 1. 1. 1. 0. 1. 0. 1. 0.]
 [0. 0. 1. 0. 0. 0. 0. 1. 0.]
 [1. 1. 1. 1. 1. 1. 0. 1. 1.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 0. 1. 0.]]",18,66.0,5,8,5,9,"Namespace(num_variables=9, seed=0)"
1,1,8,"[[0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [1 0 0 1 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0]
 [0 1 0 0 0 1 0 0 0]
 [0 0 1 0 0 0 1 0 0]]","[[0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0]
 [1 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 0]
 [0 0 1 1 0 0 0 0 0]]","[7, 8, 1, 5, 3, 6, 0, 2, 4]","[[0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 1. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 1. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 0. 1. 0. 0.]
 [1. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1. 0. 1.]
 [1. 1. 1. 1. 1. 1. 1. 0. 0.]]",7,30.0,4,1,2,3,"Namespace(num_variables=9, seed=0)"
2,2,13,"[[0 0 0 0 0 0 0 0 0]
 [0 0 0 1 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 1 0 0]
 [1 1 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [1 0 1 0 0 0 0 0 1]
 [1 0 0 1 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0]
 [0 0 0 1 1 0 1 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 1 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0]
 [1 0 1 0 0 0 0 0 0]
 [0 0 0 1 0 0 0 1 0]]","[5, 1, 6, 8, 7, 4, 0, 3, 2]","[[0. 0. 1. 1. 0. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 0. 1. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 0. 1. 1. 1.]
 [1. 0. 1. 1. 1. 0. 0. 1. 1.]
 [1. 0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 0. 0. 1. 0.]]",6,25.0,3,3,0,4,"Namespace(num_variables=9, seed=0)"
3,3,8,"[[0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 1 0 0 0]
 [0 1 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0]
 [1 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 1 0 0 0]
 [0 1 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0]]","[7, 3, 2, 6, 4, 8, 0, 5, 1]","[[0. 1. 0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 0. 1. 1. 1. 0. 1.]
 [1. 1. 1. 0. 1. 1. 1. 0. 1.]
 [1. 1. 0. 0. 0. 1. 0. 0. 1.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 0. 1. 1. 0. 0. 1.]
 [1. 1. 1. 1. 1. 1. 1. 0. 1.]
 [1. 1. 0. 0. 0. 1. 0. 0. 0.]]",2,10.0,1,1,0,1,"Namespace(num_variables=9, seed=0)"
4,4,8,"[[0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 1 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0]
 [0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 1]
 [0 0 0 0 0 0 0 0 0]]","[[0 1 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 1 0 0 1 1 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0]
 [0 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0]]","[6, 0, 2, 7, 8, 3, 5, 1, 4]","[[0. 1. 1. 1. 1. 1. 0. 1. 1.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 1. 1. 1. 0. 1. 1.]
 [0. 1. 0. 0. 1. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 0. 1. 1.]
 [0. 1. 0. 1. 1. 1. 0. 0. 1.]
 [0. 1. 0. 1. 1. 1. 0. 0. 0.]]",5,20.0,1,2,2,2,"Namespace(num_variables=9, seed=0)"
5,5,13,"[[0 0 0 0 0 0 0 1 0]
 [1 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0]
 [1 0 1 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 1 0]
 [1 1 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0]
 [1 0 1 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 0]
 [0 0 1 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 1 0]
 [1 1 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0]
 [0 1 1 0 0 0 0 0 0]]","[6, 4, 3, 5, 7, 0, 8, 2, 1]","[[0. 1. 1. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 0. 1. 0. 1. 1.]
 [1. 1. 1. 1. 0. 1. 0. 1. 1.]
 [1. 1. 1. 0. 0. 0. 0. 1. 1.]
 [1. 1. 1. 1. 1. 1. 0. 1. 1.]
 [1. 1. 1. 0. 0. 0. 0. 0. 1.]
 [0. 1. 1. 0. 0. 0. 0. 0. 0.]]",6,14.0,4,1,1,4,"Namespace(num_variables=9, seed=0)"
6,6,9,"[[0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 0 0 1 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 1 0 1 0 0]
 [0 1 0 0 0 0 0 0 0]]","[[0 0 0 0 1 0 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0]]","[8, 2, 7, 0, 6, 4, 1, 3, 5]","[[0. 1. 0. 1. 1. 1. 1. 0. 0.]
 [0. 0. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 1. 1. 1. 1. 1. 0.]
 [0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [0. 1. 0. 1. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 1. 1. 1. 0. 0. 0.]
 [1. 1. 0. 1. 1. 1. 1. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1. 1. 0.]]",4,8.0,4,0,0,1,"Namespace(num_variables=9, seed=0)"
7,7,10,"[[0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 1 0 1]
 [0 0 0 0 1 0 0 0 0]
 [0 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 1 0 1]
 [1 0 0 0 1 0 0 0 0]]","[[0 0 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]]","[6, 7, 4, 0, 2, 3, 8, 1, 5]","[[0. 1. 1. 1. 0. 1. 0. 0. 1.]
 [0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [0. 1. 0. 1. 0. 1. 0. 0. 1.]
 [0. 1. 0. 0. 0. 1. 0. 0. 1.]
 [1. 1. 1. 1. 0. 1. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 0. 1. 1.]
 [1. 1. 1. 1. 1. 1. 0. 0. 1.]
 [0. 1. 0. 0. 0. 1. 0. 0. 0.]]",9,43.0,4,5,0,8,"Namespace(num_variables=9, seed=0)"
8,8,8,"[[0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 1 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1]
 [0 1 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 1 0 0]
 [0 0 1 0 0 0 1 0 0]]","[[0 0 0 0 0 0 1 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 1 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0]
 [0 0 1 1 0 1 0 0 0]]","[8, 7, 1, 3, 5, 0, 4, 2, 6]","[[0. 0. 1. 0. 1. 0. 1. 0. 0.]
 [1. 0. 1. 1. 1. 1. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [1. 0. 1. 0. 1. 1. 1. 0. 0.]
 [0. 0. 1. 0. 0. 0. 1. 0. 0.]
 [1. 0. 1. 0. 1. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1. 1. 0.]]",6,22.0,3,2,1,3,"Namespace(num_variables=9, seed=0)"
9,9,12,"[[0 0 0 0 0 0 0 0 0]
 [0 0 0 1 0 1 1 0 0]
 [0 0 0 0 0 1 0 0 0]
 [1 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0]
 [1 0 0 0 0 0 0 0 0]
 [0 1 0 1 1 1 1 0 0]]","[[0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [0 0 0 0 0 1 0 0 0]
 [1 1 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 1 0 1]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0]
 [0 0 0 1 0 1 0 0 0]]","[4, 6, 7, 2, 8, 3, 0, 1, 5]","[[0. 1. 0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 0. 1. 0. 1. 0. 0. 1.]
 [1. 1. 0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 0. 1. 1. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 1. 0. 1. 0. 1. 1.]
 [1. 1. 1. 1. 0. 1. 0. 0. 1.]
 [1. 1. 0. 1. 0. 1. 0. 0. 0.]]",8,29.0,3,4,1,4,"Namespace(num_variables=9, seed=0)"
