,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,3,"[[0 0 0]
 [1 0 0]
 [1 1 0]]","[[0 1 1]
 [0 0 1]
 [0 0 0]]","[0, 1, 2]","[[0. 1. 1.]
 [0. 0. 1.]
 [0. 0. 0.]]",3,6.0,0,3,0,3,Namespace(num_variables=3)
1,1,3,"[[0 1 1]
 [0 0 0]
 [0 1 0]]","[[0 0 0]
 [1 0 1]
 [0 0 0]]","[1, 2, 0]","[[0. 0. 0.]
 [1. 0. 1.]
 [1. 0. 0.]]",3,6.0,1,2,0,3,Namespace(num_variables=3)
2,2,3,"[[0 0 0]
 [1 0 0]
 [1 1 0]]","[[0 0 0]
 [1 0 1]
 [0 0 0]]","[1, 0, 2]","[[0. 0. 1.]
 [1. 0. 1.]
 [0. 0. 0.]]",2,5.0,1,1,0,2,Namespace(num_variables=3)
3,3,3,"[[0 0 1]
 [1 0 1]
 [0 0 0]]","[[0 0 0]
 [0 0 0]
 [1 1 0]]","[2, 0, 1]","[[0. 1. 0.]
 [0. 0. 0.]
 [1. 1. 0.]]",3,6.0,1,2,0,3,Namespace(num_variables=3)
4,4,3,"[[0 0 1]
 [1 0 1]
 [0 0 0]]","[[0 1 0]
 [0 0 0]
 [1 0 0]]","[2, 0, 1]","[[0. 1. 0.]
 [0. 0. 0.]
 [1. 1. 0.]]",3,6.0,1,2,0,3,Namespace(num_variables=3)
5,5,3,"[[0 1 1]
 [0 0 1]
 [0 0 0]]","[[0 0 0]
 [1 0 0]
 [1 0 0]]","[2, 1, 0]","[[0. 0. 0.]
 [1. 0. 0.]
 [1. 1. 0.]]",3,6.0,1,2,0,3,Namespace(num_variables=3)
6,6,3,"[[0 1 1]
 [0 0 1]
 [0 0 0]]","[[0 0 0]
 [0 0 0]
 [1 1 0]]","[2, 1, 0]","[[0. 0. 0.]
 [1. 0. 0.]
 [1. 1. 0.]]",3,6.0,1,2,0,3,Namespace(num_variables=3)
7,7,3,"[[0 0 0]
 [1 0 0]
 [1 1 0]]","[[0 0 0]
 [1 0 0]
 [0 0 0]]","[1, 0, 2]","[[0. 0. 1.]
 [1. 0. 1.]
 [0. 0. 0.]]",2,3.0,2,0,0,2,Namespace(num_variables=3)
8,8,3,"[[0 0 0]
 [1 0 0]
 [1 1 0]]","[[0 0 1]
 [0 0 1]
 [0 0 0]]","[1, 0, 2]","[[0. 0. 1.]
 [1. 0. 1.]
 [0. 0. 0.]]",3,6.0,1,2,0,2,Namespace(num_variables=3)
9,9,3,"[[0 0 1]
 [1 0 1]
 [0 0 0]]","[[0 1 1]
 [0 0 0]
 [0 1 0]]","[0, 2, 1]","[[0. 1. 1.]
 [0. 0. 0.]
 [0. 1. 0.]]",2,5.0,0,2,0,2,Namespace(num_variables=3)
