,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,5,"[[0 1 1 1]
 [0 0 0 1]
 [0 0 0 0]
 [0 0 1 0]]","[[0 1 0 0]
 [0 0 0 1]
 [0 0 0 0]
 [0 0 0 0]]","[0, 1, 3, 2]","[[0. 1. 1. 1.]
 [0. 0. 1. 1.]
 [0. 0. 0. 0.]
 [0. 0. 1. 0.]]",3,5.0,3,0,0,0,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
1,1,4,"[[0 0 0 1]
 [1 0 0 1]
 [0 0 0 1]
 [0 0 0 0]]","[[0 0 0 1]
 [1 0 0 1]
 [0 0 0 0]
 [0 0 0 0]]","[1, 0, 2, 3]","[[0. 0. 1. 1.]
 [1. 0. 1. 1.]
 [0. 0. 0. 1.]
 [0. 0. 0. 0.]]",1,1.0,1,0,0,0,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
2,2,4,"[[0 0 1 0]
 [0 0 1 1]
 [0 0 0 0]
 [0 0 1 0]]","[[0 0 0 0]
 [1 0 1 0]
 [0 0 0 0]
 [0 0 0 0]]","[1, 2, 3, 0]","[[0. 0. 0. 0.]
 [1. 0. 1. 1.]
 [1. 0. 0. 1.]
 [1. 0. 0. 0.]]",4,4.0,3,0,1,2,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
3,3,4,"[[0 1 0 0]
 [0 0 0 1]
 [0 1 0 1]
 [0 0 0 0]]","[[0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 1 0 0]]","[3, 2, 0, 1]","[[0. 1. 0. 0.]
 [0. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]]",3,5.0,2,1,0,2,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
4,4,5,"[[0 0 0 0]
 [1 0 0 0]
 [1 1 0 0]
 [1 1 0 0]]","[[0 0 0 0]
 [0 0 0 1]
 [0 0 0 0]
 [0 0 0 0]]","[1, 2, 3, 0]","[[0. 0. 0. 0.]
 [1. 0. 1. 1.]
 [1. 0. 0. 1.]
 [1. 0. 0. 0.]]",5,9.0,4,1,0,2,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
5,5,4,"[[0 0 0 0]
 [1 0 0 0]
 [0 1 0 0]
 [0 1 1 0]]","[[0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 0 1 0]]","[3, 2, 1, 0]","[[0. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]]",2,4.0,2,0,0,0,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
6,6,4,"[[0 0 0 0]
 [1 0 0 1]
 [1 0 0 0]
 [1 0 0 0]]","[[0 1 0 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]","[0, 1, 2, 3]","[[0. 1. 1. 1.]
 [0. 0. 1. 1.]
 [0. 0. 0. 1.]
 [0. 0. 0. 0.]]",4,9.0,2,2,0,3,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
7,7,4,"[[0 1 1 1]
 [0 0 1 0]
 [0 0 0 0]
 [0 0 0 0]]","[[0 0 0 0]
 [1 0 1 0]
 [0 0 0 0]
 [1 0 0 0]]","[1, 3, 2, 0]","[[0. 0. 0. 0.]
 [1. 0. 1. 1.]
 [1. 0. 0. 0.]
 [1. 0. 1. 0.]]",3,11.0,1,2,0,3,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
8,8,4,"[[0 1 0 0]
 [0 0 1 0]
 [0 0 0 0]
 [1 1 0 0]]","[[0 0 0 0]
 [1 0 1 0]
 [0 0 0 0]
 [1 1 0 0]]","[3, 1, 0, 2]","[[0. 0. 1. 0.]
 [1. 0. 1. 0.]
 [0. 0. 0. 0.]
 [1. 1. 1. 0.]]",1,3.0,0,1,0,1,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
9,9,3,"[[0 1 0 1]
 [0 0 0 0]
 [1 0 0 0]
 [0 0 0 0]]","[[0 1 1 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]","[0, 3, 1, 2]","[[0. 1. 1. 1.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]
 [0. 1. 1. 0.]]",2,7.0,1,1,0,1,"Namespace(activation=<function leaky_relu at 0x125b153a0>, batchsize=128, dropout=True, interval_save=-1, interval_test=1, l_logdir='abpnl_results/cause1effect2/trial0', l_seed=191435, learning_rate=0.001, logdir='abpnl_results', loss_balance=0.5, max_workers=4, n_epoch=200, n_layers=2, n_trials=1, n_units=64, num_variables=4, optimizer=<class 'torch.optim.adam.Adam'>, pruning_threshold=0.95, seed=0, train_ratio=0.6, verbose=False)"
