,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,5,"[[0 0 0 0]
 [1 0 0 0]
 [1 0 0 1]
 [1 1 0 0]]","[[0 0 0 0]
 [1 0 0 0]
 [0 0 0 1]
 [1 1 0 0]]","[2, 3, 1, 0]","[[0. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 1. 0. 1.]
 [1. 1. 0. 0.]]",1,1.0,1,0,0,0,Namespace(num_variables=4)
1,1,4,"[[0 1 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [1 1 1 0]]","[[0 1 1 0]
 [0 0 0 0]
 [0 0 0 0]
 [1 1 0 0]]","[3, 0, 1, 2]","[[0. 1. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]
 [1. 1. 1. 0.]]",2,2.0,1,0,1,0,Namespace(num_variables=4)
2,2,4,"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 1]
 [0 1 0 0]]","[[0 1 0 0]
 [0 0 0 0]
 [1 1 0 0]
 [0 0 0 0]]","[2, 0, 3, 1]","[[0. 1. 0. 1.]
 [0. 0. 0. 0.]
 [1. 1. 0. 1.]
 [0. 1. 0. 0.]]",3,4.0,2,0,1,0,Namespace(num_variables=4)
3,3,4,"[[0 0 0 0]
 [1 0 1 0]
 [0 0 0 0]
 [0 1 1 0]]","[[0 0 0 0]
 [1 0 0 0]
 [0 1 0 0]
 [0 1 0 0]]","[3, 2, 1, 0]","[[0. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]]",2,4.0,1,1,0,1,Namespace(num_variables=4)
4,4,5,"[[0 1 1 1]
 [0 0 1 1]
 [0 0 0 0]
 [0 0 0 0]]","[[0 1 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 1 0]]","[0, 1, 3, 2]","[[0. 1. 1. 1.]
 [0. 0. 1. 1.]
 [0. 0. 0. 0.]
 [0. 0. 1. 0.]]",5,5.0,4,0,1,0,Namespace(num_variables=4)
5,5,4,"[[0 1 0 0]
 [0 0 1 1]
 [0 0 0 1]
 [0 0 0 0]]","[[0 1 0 0]
 [0 0 1 1]
 [0 0 0 1]
 [0 0 0 0]]","[0, 1, 2, 3]","[[0. 1. 1. 1.]
 [0. 0. 1. 1.]
 [0. 0. 0. 1.]
 [0. 0. 0. 0.]]",0,0.0,0,0,0,0,Namespace(num_variables=4)
6,6,4,"[[0 1 1 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]]","[[0 1 0 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]","[0, 1, 3, 2]","[[0. 1. 1. 1.]
 [0. 0. 1. 1.]
 [0. 0. 0. 0.]
 [0. 0. 1. 0.]]",2,4.0,2,0,0,1,Namespace(num_variables=4)
7,7,4,"[[0 0 0 0]
 [1 0 0 0]
 [1 1 0 0]
 [1 0 0 0]]","[[0 0 0 0]
 [1 0 0 0]
 [0 1 0 0]
 [1 0 0 0]]","[2, 1, 3, 0]","[[0. 0. 0. 0.]
 [1. 0. 0. 1.]
 [1. 1. 0. 1.]
 [1. 0. 0. 0.]]",1,1.0,1,0,0,0,Namespace(num_variables=4)
8,8,4,"[[0 0 0 1]
 [1 0 0 1]
 [0 1 0 0]
 [0 0 0 0]]","[[0 0 0 1]
 [1 0 0 1]
 [0 1 0 0]
 [0 0 0 0]]","[2, 1, 0, 3]","[[0. 0. 0. 1.]
 [1. 0. 0. 1.]
 [1. 1. 0. 1.]
 [0. 0. 0. 0.]]",0,0.0,0,0,0,0,Namespace(num_variables=4)
9,9,3,"[[0 0 1 0]
 [1 0 0 0]
 [0 0 0 0]
 [1 0 0 0]]","[[0 0 1 0]
 [1 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]","[1, 3, 0, 2]","[[0. 0. 1. 0.]
 [1. 0. 1. 1.]
 [0. 0. 0. 0.]
 [1. 0. 1. 0.]]",1,1.0,1,0,0,0,Namespace(num_variables=4)
