,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,5,"[[0 0 0 0]
 [1 0 0 0]
 [1 0 0 1]
 [1 1 0 0]]","[[0 1 0 1]
 [0 0 0 1]
 [0 1 0 0]
 [0 0 0 0]]","[2, 0, 1, 3]","[[0. 1. 0. 1.]
 [0. 0. 0. 1.]
 [1. 1. 0. 1.]
 [0. 0. 0. 0.]]",6,8.0,2,3,1,3,"Namespace(method='mgcv', num_variables=4, verbose=False)"
1,1,4,"[[0 1 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [1 1 1 0]]","[[0 1 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [1 1 0 0]]","[3, 2, 0, 1]","[[0. 1. 0. 0.]
 [0. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]]",2,3.0,1,0,1,0,"Namespace(method='mgcv', num_variables=4, verbose=False)"
2,2,4,"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 1]
 [0 1 0 0]]","[[0 1 0 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 0 0 0]]","[2, 3, 0, 1]","[[0. 1. 0. 0.]
 [0. 0. 0. 0.]
 [1. 1. 0. 1.]
 [1. 1. 0. 0.]]",4,7.0,3,0,1,0,"Namespace(method='mgcv', num_variables=4, verbose=False)"
3,3,4,"[[0 0 0 0]
 [1 0 1 0]
 [0 0 0 0]
 [0 1 1 0]]","[[0 0 0 0]
 [0 0 1 0]
 [0 0 0 0]
 [0 1 0 0]]","[3, 0, 1, 2]","[[0. 1. 1. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 0.]
 [1. 1. 1. 0.]]",2,4.0,2,0,0,1,"Namespace(method='mgcv', num_variables=4, verbose=False)"
4,4,5,"[[0 1 1 1]
 [0 0 1 1]
 [0 0 0 0]
 [0 0 0 0]]","[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]","[0, 2, 1, 3]","[[0. 1. 1. 1.]
 [0. 0. 0. 1.]
 [0. 1. 0. 1.]
 [0. 0. 0. 0.]]",5,9.0,5,0,0,1,"Namespace(method='mgcv', num_variables=4, verbose=False)"
5,5,4,"[[0 1 0 0]
 [0 0 1 1]
 [0 0 0 1]
 [0 0 0 0]]","[[0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 0 1 0]]","[0, 3, 2, 1]","[[0. 1. 1. 1.]
 [0. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 1. 0.]]",4,9.0,2,2,0,3,"Namespace(method='mgcv', num_variables=4, verbose=False)"
6,6,4,"[[0 1 1 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]]","[[0 1 0 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 1 0]]","[0, 1, 3, 2]","[[0. 1. 1. 1.]
 [0. 0. 1. 1.]
 [0. 0. 0. 0.]
 [0. 0. 1. 0.]]",3,3.0,2,0,1,1,"Namespace(method='mgcv', num_variables=4, verbose=False)"
7,7,4,"[[0 0 0 0]
 [1 0 0 0]
 [1 1 0 0]
 [1 0 0 0]]","[[0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 0 0 0]]","[3, 2, 1, 0]","[[0. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]]",3,3.0,3,0,0,0,"Namespace(method='mgcv', num_variables=4, verbose=False)"
8,8,4,"[[0 0 0 1]
 [1 0 0 1]
 [0 1 0 0]
 [0 0 0 0]]","[[0 1 0 1]
 [0 0 0 1]
 [1 0 0 0]
 [0 0 0 0]]","[2, 0, 1, 3]","[[0. 1. 0. 1.]
 [0. 0. 0. 1.]
 [1. 1. 0. 1.]
 [0. 0. 0. 0.]]",3,5.0,1,1,1,1,"Namespace(method='mgcv', num_variables=4, verbose=False)"
9,9,3,"[[0 0 1 0]
 [1 0 0 0]
 [0 0 0 0]
 [1 0 0 0]]","[[0 0 1 0]
 [1 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]","[3, 1, 0, 2]","[[0. 0. 1. 0.]
 [1. 0. 1. 0.]
 [0. 0. 0. 0.]
 [1. 1. 1. 0.]]",1,1.0,1,0,0,0,"Namespace(method='mgcv', num_variables=4, verbose=False)"
