,Trials,Num_edges,gt_A,pred_A,pred_order,full_A,SHD,SID,Missing,Reverse,Extra,D_order,Cfg
0,0,5,"[[0 0 0 0]
 [1 0 0 0]
 [1 0 0 1]
 [1 1 0 0]]","[[0 1 0 1]
 [0 0 0 0]
 [0 0 0 1]
 [0 1 0 0]]","[0, 2, 3, 1]","[[0. 1. 1. 1.]
 [0. 0. 0. 0.]
 [0. 1. 0. 1.]
 [0. 1. 0. 0.]]",3,7.0,1,2,0,3,"Namespace(num_variables=4, seed=0)"
1,1,4,"[[0 1 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [1 1 1 0]]","[[0 0 0 0]
 [1 0 0 0]
 [1 0 0 0]
 [1 1 1 0]]","[3, 2, 1, 0]","[[0. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 1. 0. 0.]
 [1. 1. 1. 0.]]",2,2.0,0,1,1,1,"Namespace(num_variables=4, seed=0)"
2,2,4,"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 1]
 [0 1 0 0]]","[[0 1 1 0]
 [0 0 0 0]
 [0 1 0 0]
 [0 0 0 0]]","[0, 2, 1, 3]","[[0. 1. 1. 1.]
 [0. 0. 0. 1.]
 [0. 1. 0. 1.]
 [0. 0. 0. 0.]]",4,8.0,2,1,1,2,"Namespace(num_variables=4, seed=0)"
3,3,4,"[[0 0 0 0]
 [1 0 1 0]
 [0 0 0 0]
 [0 1 1 0]]","[[0 0 0 0]
 [1 0 1 0]
 [0 0 0 0]
 [0 1 1 0]]","[3, 1, 0, 2]","[[0. 0. 1. 0.]
 [1. 0. 1. 0.]
 [0. 0. 0. 0.]
 [1. 1. 1. 0.]]",0,0.0,0,0,0,0,"Namespace(num_variables=4, seed=0)"
4,4,5,"[[0 1 1 1]
 [0 0 1 1]
 [0 0 0 0]
 [0 0 0 0]]","[[0 0 0 1]
 [0 0 0 0]
 [0 0 0 1]
 [0 0 0 0]]","[0, 2, 3, 1]","[[0. 1. 1. 1.]
 [0. 0. 0. 0.]
 [0. 1. 0. 1.]
 [0. 1. 0. 0.]]",5,7.0,4,0,1,2,"Namespace(num_variables=4, seed=0)"
5,5,4,"[[0 1 0 0]
 [0 0 1 1]
 [0 0 0 1]
 [0 0 0 0]]","[[0 1 0 0]
 [0 0 1 0]
 [0 0 0 1]
 [0 0 0 0]]","[0, 1, 2, 3]","[[0. 1. 1. 1.]
 [0. 0. 1. 1.]
 [0. 0. 0. 1.]
 [0. 0. 0. 0.]]",1,2.0,1,0,0,0,"Namespace(num_variables=4, seed=0)"
6,6,4,"[[0 1 1 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]]","[[0 1 1 1]
 [0 0 0 0]
 [0 0 0 0]
 [0 1 0 0]]","[0, 2, 3, 1]","[[0. 1. 1. 1.]
 [0. 0. 0. 0.]
 [0. 1. 0. 1.]
 [0. 1. 0. 0.]]",0,0.0,0,0,0,0,"Namespace(num_variables=4, seed=0)"
7,7,4,"[[0 0 0 0]
 [1 0 0 0]
 [1 1 0 0]
 [1 0 0 0]]","[[0 0 0 1]
 [0 0 0 0]
 [0 1 0 0]
 [0 0 0 0]]","[2, 1, 0, 3]","[[0. 0. 0. 1.]
 [1. 0. 0. 1.]
 [1. 1. 0. 1.]
 [0. 0. 0. 0.]]",3,6.0,2,1,0,1,"Namespace(num_variables=4, seed=0)"
8,8,4,"[[0 0 0 1]
 [1 0 0 1]
 [0 1 0 0]
 [0 0 0 0]]","[[0 1 0 0]
 [0 0 0 0]
 [1 1 0 1]
 [1 1 0 0]]","[2, 3, 0, 1]","[[0. 1. 0. 0.]
 [0. 0. 0. 0.]
 [1. 1. 0. 1.]
 [1. 1. 0. 0.]]",5,6.0,0,3,2,3,"Namespace(num_variables=4, seed=0)"
9,9,3,"[[0 0 1 0]
 [1 0 0 0]
 [0 0 0 0]
 [1 0 0 0]]","[[0 1 1 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]","[3, 0, 2, 1]","[[0. 1. 1. 0.]
 [0. 0. 0. 0.]
 [0. 1. 0. 0.]
 [1. 1. 1. 0.]]",2,5.0,1,1,0,1,"Namespace(num_variables=4, seed=0)"
